"Element Code","Scientific Name.x","Scientific Name Synonyms","English Name.x","English Name Synonyms","Class (English)","Scientific Name.y","English Name.y","BirdNET"
"ABPBX03120","Setophaga fusca","Dendroica fusca","Blackburnian Warbler",NA,"birds","Setophaga fusca","Blackburnian Warbler","Setophaga fusca_Blackburnian Warbler"
"ABPBX03030","Setophaga magnolia","Dendroica magnolia","Magnolia Warbler",NA,"birds","Setophaga magnolia","Magnolia Warbler","Setophaga magnolia_Magnolia Warbler"
"ABPBX03070","Setophaga nigrescens","Dendroica nigrescens","Black-throated Gray Warbler",NA,"birds","Setophaga nigrescens","Black-throated Grey Warbler","Setophaga nigrescens_Black-throated Grey Warbler"
"ABPBX03090","Setophaga occidentalis","Dendroica occidentalis","Hermit Warbler",NA,"birds","Setophaga occidentalis","Hermit Warbler","Setophaga occidentalis_Hermit Warbler"
"ABPBX03210","Setophaga palmarum","Dendroica palmarum","Palm Warbler",NA,"birds","Setophaga palmarum","Palm Warbler","Setophaga palmarum_Palm Warbler"
"ABPBX03020","Setophaga pensylvanica","Dendroica pensylvanica","Chestnut-sided Warbler",NA,"birds","Setophaga pensylvanica","Chestnut-sided Warbler","Setophaga pensylvanica_Chestnut-sided Warbler"
"ABPBX03010","Setophaga petechia","Dendroica petechia","Yellow Warbler",NA,"birds","Setophaga petechia","Yellow Warbler","Setophaga petechia_Yellow Warbler"
"ABPBX03170","Setophaga pinus","Dendroica pinus","Pine Warbler",NA,"birds","Setophaga pinus","Pine Warbler","Setophaga pinus_Pine Warbler"
"ABPBX06010","Setophaga ruticilla",NA,"American Redstart",NA,"birds","Setophaga ruticilla","American Redstart","Setophaga ruticilla_American Redstart"
"ABPBX03230","Setophaga striata","Dendroica striata","Blackpoll Warbler",NA,"birds","Setophaga striata","Blackpoll Warbler","Setophaga striata_Blackpoll Warbler"
"ABPBX03040","Setophaga tigrina","Dendroica tigrina","Cape May Warbler",NA,"birds","Setophaga tigrina","Cape May Warbler","Setophaga tigrina_Cape May Warbler"
"ABPBX03080","Setophaga townsendi","Dendroica townsendi","Townsend's Warbler",NA,"birds","Setophaga townsendi","Townsend's Warbler","Setophaga townsendi_Townsend's Warbler"
"ABPBX03100","Setophaga virens","Dendroica virens","Black-throated Green Warbler",NA,"birds","Setophaga virens","Black-throated Green Warbler","Setophaga virens_Black-throated Green Warbler"
"ABPBX01030","Vermivora chrysoptera",NA,"Golden-winged Warbler",NA,"birds","Vermivora chrysoptera","Golden-winged Warbler","Vermivora chrysoptera_Golden-winged Warbler"
"ABPBXB0010","Agelaius phoeniceus",NA,"Red-winged Blackbird",NA,"birds","Agelaius phoeniceus","Red-winged Blackbird","Agelaius phoeniceus_Red-winged Blackbird"
"ABPBXA9010","Dolichonyx oryzivorus",NA,"Bobolink",NA,"birds","Dolichonyx oryzivorus","Bobolink","Dolichonyx oryzivorus_Bobolink"
"ABPBXB5010","Euphagus carolinus",NA,"Rusty Blackbird",NA,"birds","Euphagus carolinus","Rusty Blackbird","Euphagus carolinus_Rusty Blackbird"
"ABPBXB5020","Euphagus cyanocephalus",NA,"Brewer's Blackbird",NA,"birds","Euphagus cyanocephalus","Brewer's Blackbird","Euphagus cyanocephalus_Brewer's Blackbird"
"ABPBXB9220","Icterus bullockii",NA,"Bullock's Oriole",NA,"birds","Icterus bullockii","Bullock's Oriole","Icterus bullockii_Bullock's Oriole"
"ABPBXB9080","Icterus cucullatus",NA,"Hooded Oriole",NA,"birds","Icterus cucullatus","Hooded Oriole","Icterus cucullatus_Hooded Oriole"
"ABPBXB9190","Icterus galbula",NA,"Baltimore Oriole",NA,"birds","Icterus galbula","Baltimore Oriole","Icterus galbula_Baltimore Oriole"
"ABPBXB9070","Icterus spurius",NA,"Orchard Oriole",NA,"birds","Icterus spurius","Orchard Oriole","Icterus spurius_Orchard Oriole"
"ABPBXB7030","Molothrus ater",NA,"Brown-headed Cowbird",NA,"birds","Molothrus ater","Brown-headed Cowbird","Molothrus ater_Brown-headed Cowbird"
"ABPBXB6050","Quiscalus mexicanus",NA,"Great-tailed Grackle",NA,"birds","Quiscalus mexicanus","Great-tailed Grackle","Quiscalus mexicanus_Great-tailed Grackle"
"ABPBXB6070","Quiscalus quiscula",NA,"Common Grackle",NA,"birds","Quiscalus quiscula","Common Grackle","Quiscalus quiscula_Common Grackle"
"ABPBXB2030","Sturnella neglecta",NA,"Western Meadowlark",NA,"birds","Sturnella neglecta","Western Meadowlark","Sturnella neglecta_Western Meadowlark"
"ABPBXB3010","Xanthocephalus xanthocephalus",NA,"Yellow-headed Blackbird",NA,"birds","Xanthocephalus xanthocephalus","Yellow-headed Blackbird","Xanthocephalus xanthocephalus_Yellow-headed Blackbird"
"ABPBX24010","Icteria virens",NA,"Yellow-breasted Chat",NA,"birds","Icteria virens","Yellow-breasted Chat","Icteria virens_Yellow-breasted Chat"
"ABPBXA0020","Ammodramus savannarum",NA,"Grasshopper Sparrow",NA,"birds","Ammodramus savannarum","Grasshopper Sparrow","Ammodramus savannarum_Grasshopper Sparrow"
"ABPBXA0040","Ammospiza leconteii","Ammodramus leconteii","LeConte's Sparrow",NA,"birds","Ammospiza leconteii","LeConte's Sparrow","Ammospiza leconteii_LeConte's Sparrow"
"ABPBXA0070","Ammospiza nelsoni","Ammodramus nelsoni","Nelson's Sparrow",NA,"birds","Ammospiza nelsoni","Nelson's Sparrow","Ammospiza nelsoni_Nelson's Sparrow"
"ABPBX97010","Amphispiza bilineata",NA,"Black-throated Sparrow",NA,"birds","Amphispiza bilineata","Black-throated Sparrow","Amphispiza bilineata_Black-throated Sparrow"
"ABPBX97040","Artemisiospiza nevadensis","Amphispiza belli","Sagebrush Sparrow","Sage Sparrow","birds","Artemisiospiza nevadensis","Sagebrush Sparrow","Artemisiospiza nevadensis_Sagebrush Sparrow"
"ABPBX98010","Calamospiza melanocorys",NA,"Lark Bunting",NA,"birds","Calamospiza melanocorys","Lark Bunting","Calamospiza melanocorys_Lark Bunting"
"ABPBXA0010","Centronyx bairdii","Ammodramus bairdii","Baird's Sparrow",NA,"birds","Centronyx bairdii","Baird's Sparrow","Centronyx bairdii_Baird's Sparrow"
"ABPBX96010","Chondestes grammacus",NA,"Lark Sparrow",NA,"birds","Chondestes grammacus","Lark Sparrow","Chondestes grammacus_Lark Sparrow"
"ABPBXA7020","Emberiza rustica",NA,"Rustic Bunting",NA,"birds","Emberiza rustica","Rustic Bunting","Emberiza rustica_Rustic Bunting"
"ABPBXA5020","Junco hyemalis",NA,"Dark-eyed Junco",NA,"birds","Junco hyemalis","Dark-eyed Junco","Junco hyemalis_Dark-eyed Junco"
"ABPBXA3030","Melospiza georgiana",NA,"Swamp Sparrow",NA,"birds","Melospiza georgiana","Swamp Sparrow","Melospiza georgiana_Swamp Sparrow"
"ABPBXA3020","Melospiza lincolnii",NA,"Lincoln's Sparrow",NA,"birds","Melospiza lincolnii","Lincoln's Sparrow","Melospiza lincolnii_Lincoln's Sparrow"
"ABPBXA3010","Melospiza melodia",NA,"Song Sparrow",NA,"birds","Melospiza melodia","Song Sparrow","Melospiza melodia_Song Sparrow"
"ABPBX99010","Passerculus sandwichensis",NA,"Savannah Sparrow",NA,"birds","Passerculus sandwichensis","Savannah Sparrow","Passerculus sandwichensis_Savannah Sparrow"
"ABPBXA2010","Passerella iliaca",NA,"Fox Sparrow",NA,"birds","Passerella iliaca","Fox Sparrow","Passerella iliaca_Fox Sparrow"
"ABPBX74010","Pipilo chlorurus",NA,"Green-tailed Towhee",NA,"birds","Pipilo chlorurus","Green-tailed Towhee","Pipilo chlorurus_Green-tailed Towhee"
"ABPBX74080","Pipilo maculatus",NA,"Spotted Towhee",NA,"birds","Pipilo maculatus","Spotted Towhee","Pipilo maculatus_Spotted Towhee"
"ABPBX95010","Pooecetes gramineus",NA,"Vesper Sparrow",NA,"birds","Pooecetes gramineus","Vesper Sparrow","Pooecetes gramineus_Vesper Sparrow"
"ABPBX94040","Spizella breweri",NA,"Brewer's Sparrow",NA,"birds","Spizella breweri","Brewer's Sparrow","Spizella breweri_Brewer's Sparrow"
"ABPBX94030","Spizella pallida",NA,"Clay-colored Sparrow",NA,"birds","Spizella pallida","Clay-coloured Sparrow","Spizella pallida_Clay-coloured Sparrow"
"ABPBX94020","Spizella passerina",NA,"Chipping Sparrow",NA,"birds","Spizella passerina","Chipping Sparrow","Spizella passerina_Chipping Sparrow"
"ABPBX94050","Spizella pusilla",NA,"Field Sparrow",NA,"birds","Spizella pusilla","Field Sparrow","Spizella pusilla_Field Sparrow"
"ABPBX94010","Spizelloides arborea","Spizella arborea","American Tree Sparrow",NA,"birds","Spizelloides arborea","American Tree Sparrow","Spizelloides arborea_American Tree Sparrow"
"ABPBXA4020","Zonotrichia albicollis",NA,"White-throated Sparrow",NA,"birds","Zonotrichia albicollis","White-throated Sparrow","Zonotrichia albicollis_White-throated Sparrow"
"ABPBXA4030","Zonotrichia atricapilla",NA,"Golden-crowned Sparrow",NA,"birds","Zonotrichia atricapilla","Golden-crowned Sparrow","Zonotrichia atricapilla_Golden-crowned Sparrow"
"ABPBXA4040","Zonotrichia leucophrys",NA,"White-crowned Sparrow",NA,"birds","Zonotrichia leucophrys","White-crowned Sparrow","Zonotrichia leucophrys_White-crowned Sparrow"
"ABPBXA4050","Zonotrichia querula",NA,"Harris's Sparrow",NA,"birds","Zonotrichia querula","Harris's Sparrow","Zonotrichia querula_Harris's Sparrow"
"ABPBXA6020","Calcarius lapponicus",NA,"Lapland Longspur",NA,"birds","Calcarius lapponicus","Lapland Bunting","Calcarius lapponicus_Lapland Bunting"
"ABPBXA6040","Calcarius ornatus",NA,"Chestnut-collared Longspur",NA,"birds","Calcarius ornatus","Chestnut-collared Longspur","Calcarius ornatus_Chestnut-collared Longspur"
"ABPBXA6030","Calcarius pictus",NA,"Smith's Longspur",NA,"birds","Calcarius pictus","Smith's Longspur","Calcarius pictus_Smith's Longspur"
"ABPBXA8020","Plectrophenax hyperboreus",NA,"Mckay's Bunting",NA,"birds","Plectrophenax hyperboreus","McKay's Bunting","Plectrophenax hyperboreus_McKay's Bunting"
"ABPBXA8010","Plectrophenax nivalis",NA,"Snow Bunting",NA,"birds","Plectrophenax nivalis","Snow Bunting","Plectrophenax nivalis_Snow Bunting"
"ABPBXA6010","Rhynchophanes mccownii","Calcarius mccownii","Thick-billed Longspur","McCown's Longspur","birds","Rhynchophanes mccownii","Thick-billed Longspur","Rhynchophanes mccownii_Thick-billed Longspur"
"ABPBX60010","Cardinalis cardinalis",NA,"Northern Cardinal",NA,"birds","Cardinalis cardinalis","Northern Cardinal","Cardinalis cardinalis_Northern Cardinal"
"ABPBX64020","Passerina amoena",NA,"Lazuli Bunting",NA,"birds","Passerina amoena","Lazuli Bunting","Passerina amoena_Lazuli Bunting"
"ABPBX64010","Passerina caerulea",NA,"Blue Grosbeak",NA,"birds","Passerina caerulea","Blue Grosbeak","Passerina caerulea_Blue Grosbeak"
"ABPBX64060","Passerina ciris",NA,"Painted Bunting",NA,"birds","Passerina ciris","Painted Bunting","Passerina ciris_Painted Bunting"
"ABPBX64030","Passerina cyanea",NA,"Indigo Bunting",NA,"birds","Passerina cyanea","Indigo Bunting","Passerina cyanea_Indigo Bunting"
"ABPBX61030","Pheucticus ludovicianus",NA,"Rose-breasted Grosbeak",NA,"birds","Pheucticus ludovicianus","Rose-breasted Grosbeak","Pheucticus ludovicianus_Rose-breasted Grosbeak"
"ABPBX61040","Pheucticus melanocephalus",NA,"Black-headed Grosbeak",NA,"birds","Pheucticus melanocephalus","Black-headed Grosbeak","Pheucticus melanocephalus_Black-headed Grosbeak"
"ABPBX45050","Piranga ludoviciana",NA,"Western Tanager",NA,"birds","Piranga ludoviciana","Western Tanager","Piranga ludoviciana_Western Tanager"
"ABPBX45040","Piranga olivacea",NA,"Scarlet Tanager",NA,"birds","Piranga olivacea","Scarlet Tanager","Piranga olivacea_Scarlet Tanager"
"ABPBX45030","Piranga rubra",NA,"Summer Tanager",NA,"birds","Piranga rubra","Summer Tanager","Piranga rubra_Summer Tanager"
"ABPBX65010","Spiza americana",NA,"Dickcissel",NA,"birds","Spiza americana","Dickcissel","Spiza americana_Dickcissel"
"AMAFB07010","Sciurus carolinensis",NA,"Eastern Grey Squirrel",NA,"mammals","Sciurus carolinensis","Eastern Gray Squirrel","Sciurus carolinensis_Eastern Gray Squirrel"
"AMAFB08040","Tamiasciurus hudsonicus",NA,"Red Squirrel",NA,"mammals","Tamiasciurus hudsonicus","Red Squirrel","Tamiasciurus hudsonicus_Red Squirrel"
"AMAJA01010","Canis latrans",NA,"Coyote",NA,"mammals","Canis latrans","Coyote","Canis latrans_Coyote"
"AMAJA01030","Canis lupus",NA,"Grey Wolf",NA,"mammals","Canis lupus","Gray Wolf","Canis lupus_Gray Wolf"
"AMALC02020","Odocoileus virginianus",NA,"White-tailed Deer",NA,"mammals","Odocoileus virginianus","White-tailed Deer","Odocoileus virginianus_White-tailed Deer"
"ABNNF12010","Calidris pygmea","Eurynorhynchus pygmeus","Spoon-billed Sandpiper","Spoonbill Sandpiper","birds","Calidris pygmaea","Spoon-billed Sandpiper","Calidris pygmaea_Spoon-billed Sandpiper"
"ABNKA01010","Coragyps atratus",NA,"Black Vulture",NA,"birds","Aegypius monachus","Black Vulture","Aegypius monachus_Black Vulture"
"AAABC05100","Pseudacris regilla",NA,"Pacific Treefrog","Pacific Chorus Frog","amphibians","Hyliola regilla","Pacific Chorus Frog","Hyliola regilla_Pacific Chorus Frog"
"ABNME13030","Gallinula galeata","Gallinula chloropus","Common Gallinule","Common Moorhen","birds","Gallinula chloropus","Common Moorhen","Gallinula chloropus_Common Moorhen"
