"Element Code","Scientific Name.x","Scientific Name Synonyms","English Name.x","English Name Synonyms","Class (English)","Scientific Name.y","English Name.y","BirdNET"
"ABPBW01120","Vireo atricapilla",NA,"Black-capped Vireo",NA,"birds","Vireo atricapilla","Black-capped Vireo","Vireo atricapilla_Black-capped Vireo"
"ABPBW01110","Vireo bellii",NA,"Bell's Vireo",NA,"birds","Vireo bellii","Bell's Vireo","Vireo bellii_Bell's Vireo"
"ABPBW01290","Vireo cassinii",NA,"Cassin's Vireo",NA,"birds","Vireo cassinii","Cassin's Vireo","Vireo cassinii_Cassin's Vireo"
"ABPBW01270","Vireo flavoviridis",NA,"Yellow-green Vireo",NA,"birds","Vireo flavoviridis","Yellow-green Vireo","Vireo flavoviridis_Yellow-green Vireo"
"ABPBW01210","Vireo gilvus",NA,"Warbling Vireo",NA,"birds","Vireo gilvus","Warbling Vireo","Vireo gilvus_Warbling Vireo"
"ABPBW01020","Vireo griseus",NA,"White-eyed Vireo",NA,"birds","Vireo griseus","White-eyed Vireo","Vireo griseus_White-eyed Vireo"
"ABPBW01190","Vireo huttoni",NA,"Hutton's Vireo",NA,"birds","Vireo huttoni","Hutton's Vireo","Vireo huttoni_Hutton's Vireo"
"ABPBW01240","Vireo olivaceus",NA,"Red-eyed Vireo",NA,"birds","Vireo olivaceus","Red-eyed Vireo","Vireo olivaceus_Red-eyed Vireo"
"ABPBW01230","Vireo philadelphicus",NA,"Philadelphia Vireo",NA,"birds","Vireo philadelphicus","Philadelphia Vireo","Vireo philadelphicus_Philadelphia Vireo"
"ABPBW01160","Vireo solitarius",NA,"Blue-headed Vireo",NA,"birds","Vireo solitarius","Blue-headed Vireo","Vireo solitarius_Blue-headed Vireo"
"ABPAV06070","Aphelocoma californica",NA,"California Scrub-Jay","Western Scrub-Jay","birds","Aphelocoma californica","California Scrub-Jay","Aphelocoma californica_California Scrub-Jay"
"ABPAV10170","Corvus brachyrhynchos","Corvus caurinus","American Crow","Northwestern Crow","birds","Corvus brachyrhynchos","American Crow","Corvus brachyrhynchos_American Crow"
"ABPAV10110","Corvus corax",NA,"Common Raven",NA,"birds","Corvus corax","Common Raven","Corvus corax_Common Raven"
"ABPAV02020","Cyanocitta cristata",NA,"Blue Jay",NA,"birds","Cyanocitta cristata","Blue Jay","Cyanocitta cristata_Blue Jay"
"ABPAV02010","Cyanocitta stelleri",NA,"Steller's Jay",NA,"birds","Cyanocitta stelleri","Steller's Jay","Cyanocitta stelleri_Steller's Jay"
"ABPAV07010","Gymnorhinus cyanocephalus",NA,"Pinyon Jay",NA,"birds","Gymnorhinus cyanocephalus","Pinyon Jay","Gymnorhinus cyanocephalus_Pinyon Jay"
"ABPAV08010","Nucifraga columbiana",NA,"Clark's Nutcracker",NA,"birds","Nucifraga columbiana","Clark's Nutcracker","Nucifraga columbiana_Clark's Nutcracker"
"ABPAV01010","Perisoreus canadensis",NA,"Canada Jay","Gray Jay","birds","Perisoreus canadensis","Canada Jay","Perisoreus canadensis_Canada Jay"
"ABPAV09010","Pica hudsonia",NA,"Black-billed Magpie",NA,"birds","Pica hudsonia","Black-billed Magpie","Pica hudsonia_Black-billed Magpie"
"ABPBN01020","Bombycilla cedrorum",NA,"Cedar Waxwing",NA,"birds","Bombycilla cedrorum","Cedar Waxwing","Bombycilla cedrorum_Cedar Waxwing"
"ABPBN01010","Bombycilla garrulus",NA,"Bohemian Waxwing",NA,"birds","Bombycilla garrulus","Bohemian Waxwing","Bombycilla garrulus_Bohemian Waxwing"
"ABPAW01010","Poecile atricapillus","Poecile atricapilla","Black-capped Chickadee",NA,"birds","Poecile atricapillus","Black-capped Chickadee","Poecile atricapillus_Black-capped Chickadee"
"ABPAW01040","Poecile gambeli",NA,"Mountain Chickadee",NA,"birds","Poecile gambeli","Mountain Chickadee","Poecile gambeli_Mountain Chickadee"
"ABPAW01060","Poecile hudsonicus","Poecile hudsonica","Boreal Chickadee",NA,"birds","Poecile hudsonicus","Boreal Chickadee","Poecile hudsonicus_Boreal Chickadee"
"ABPAW01070","Poecile rufescens",NA,"Chestnut-backed Chickadee",NA,"birds","Poecile rufescens","Chestnut-backed Chickadee","Poecile rufescens_Chestnut-backed Chickadee"
"ABPAT01010","Alauda arvensis",NA,"Eurasian Skylark","Sky Lark","birds","Alauda arvensis","Eurasian Skylark","Alauda arvensis_Eurasian Skylark"
"ABPAT02010","Eremophila alpestris",NA,"Horned Lark",NA,"birds","Eremophila alpestris","Shore Lark","Eremophila alpestris_Shore Lark"
"ABPAU09030","Hirundo rustica",NA,"Barn Swallow",NA,"birds","Hirundo rustica","Barn Swallow","Hirundo rustica_Barn Swallow"
"ABPAU09020","Petrochelidon fulva",NA,"Cave Swallow",NA,"birds","Petrochelidon fulva","Cave Swallow","Petrochelidon fulva_Cave Swallow"
"ABPAU09010","Petrochelidon pyrrhonota",NA,"Cliff Swallow",NA,"birds","Petrochelidon pyrrhonota","Cliff Swallow","Petrochelidon pyrrhonota_Cliff Swallow"
"ABPAU01010","Progne subis",NA,"Purple Martin",NA,"birds","Progne subis","Purple Martin","Progne subis_Purple Martin"
"ABPAU08010","Riparia riparia",NA,"Bank Swallow",NA,"birds","Riparia riparia","Sand Martin","Riparia riparia_Sand Martin"
"ABPAU07010","Stelgidopteryx serripennis",NA,"Northern Rough-winged Swallow",NA,"birds","Stelgidopteryx serripennis","Northern Rough-winged Swallow","Stelgidopteryx serripennis_Northern Rough-winged Swallow"
"ABPAU03010","Tachycineta bicolor",NA,"Tree Swallow",NA,"birds","Tachycineta bicolor","Tree Swallow","Tachycineta bicolor_Tree Swallow"
"ABPAU03040","Tachycineta thalassina",NA,"Violet-green Swallow",NA,"birds","Tachycineta thalassina","Violet-green Swallow","Tachycineta thalassina_Violet-green Swallow"
"ABPAY01010","Psaltriparus minimus",NA,"Bushtit",NA,"birds","Psaltriparus minimus","Bushtit","Psaltriparus minimus_Bushtit"
"ABPBJ04040","Phylloscopus inornatus",NA,"Yellow-browed Warbler",NA,"birds","Phylloscopus inornatus","Yellow-browed Warbler","Phylloscopus inornatus_Yellow-browed Warbler"
"ABPBJ05020","Corthylio calendula","Regulus calendula","Ruby-crowned Kinglet",NA,"birds","Corthylio calendula","Ruby-crowned Kinglet","Corthylio calendula_Ruby-crowned Kinglet"
"ABPBJ05010","Regulus satrapa",NA,"Golden-crowned Kinglet",NA,"birds","Regulus satrapa","Golden-crowned Kinglet","Regulus satrapa_Golden-crowned Kinglet"
"ABPBG04010","Catherpes mexicanus",NA,"Canyon Wren",NA,"birds","Catherpes mexicanus","Canyon Wren","Catherpes mexicanus_Canyon Wren"
"ABPBG10020","Cistothorus palustris",NA,"Marsh Wren",NA,"birds","Cistothorus palustris","Marsh Wren","Cistothorus palustris_Marsh Wren"
"ABPBG10030","Cistothorus stellaris","Cistothorus platensis","Sedge Wren",NA,"birds","Cistothorus stellaris","Sedge Wren","Cistothorus stellaris_Sedge Wren"
