"Scientific Name","English Name.x","BirdNET","English Name.y","Species Code","Class (English)"
"Aegithina nigrolutea","White-tailed Iora","Aegithina nigrolutea_White-tailed Iora",NA,NA,NA
"Aegithina tiphia","Common Iora","Aegithina tiphia_Common Iora",NA,NA,NA
"Aegithina viridissima","Green Iora","Aegithina viridissima_Green Iora",NA,NA,NA
"Aegolius acadicus","Northern Saw-whet Owl","Aegolius acadicus_Northern Saw-whet Owl","Northern Saw-whet Owl","B-NSWO","birds"
"Aegolius funereus","Tengmalm's Owl","Aegolius funereus_Tengmalm's Owl","Boreal Owl","B-BOOW","birds"
"Aegolius harrisii","Buff-fronted Owl","Aegolius harrisii_Buff-fronted Owl",NA,NA,NA
"Aegolius ridgwayi","Unspotted Saw-whet Owl","Aegolius ridgwayi_Unspotted Saw-whet Owl",NA,NA,NA
"Aegotheles cristatus","Australian Owlet-nightjar","Aegotheles cristatus_Australian Owlet-nightjar",NA,NA,NA
"Aegypius monachus","Black Vulture","Aegypius monachus_Black Vulture",NA,NA,NA
"Aerodramus bartschi","Mariana Swiftlet","Aerodramus bartschi_Mariana Swiftlet",NA,NA,NA
"Aerodramus fuciphagus","White-nest Swiftlet","Aerodramus fuciphagus_White-nest Swiftlet",NA,NA,NA
"Aerodramus maximus","Black-nest Swiftlet","Aerodramus maximus_Black-nest Swiftlet",NA,NA,NA
"Aeronautes andecolus","Andean Swift","Aeronautes andecolus_Andean Swift",NA,NA,NA
"Aeronautes montivagus","White-tipped Swift","Aeronautes montivagus_White-tipped Swift",NA,NA,NA
"Aeronautes saxatalis","White-throated Swift","Aeronautes saxatalis_White-throated Swift","White-throated Swift","B-WTSW","birds"
"Aethia pusilla","Least Auklet","Aethia pusilla_Least Auklet","Least Auklet","B-LEAU","birds"
"Aethia pygmaea","Whiskered Auklet","Aethia pygmaea_Whiskered Auklet","Whiskered Auklet","B-WHAU","birds"
"Aethopyga christinae","Fork-tailed Sunbird","Aethopyga christinae_Fork-tailed Sunbird",NA,NA,NA
"Aethopyga gouldiae","Mrs. Gould's Sunbird","Aethopyga gouldiae_Mrs. Gould's Sunbird",NA,NA,NA
"Aethopyga ignicauda","Fire-tailed Sunbird","Aethopyga ignicauda_Fire-tailed Sunbird",NA,NA,NA
"Aethopyga nipalensis","Green-tailed Sunbird","Aethopyga nipalensis_Green-tailed Sunbird",NA,NA,NA
"Aethopyga saturata","Black-throated Sunbird","Aethopyga saturata_Black-throated Sunbird",NA,NA,NA
"Aethopyga siparaja","Crimson Sunbird","Aethopyga siparaja_Crimson Sunbird",NA,NA,NA
"Aethopyga temminckii","Temminck's Sunbird","Aethopyga temminckii_Temminck's Sunbird",NA,NA,NA
"Aethopyga vigorsii","Vigors's Sunbird","Aethopyga vigorsii_Vigors's Sunbird",NA,NA,NA
"Agapornis canus","Grey-headed Lovebird","Agapornis canus_Grey-headed Lovebird",NA,NA,NA
"Agapornis fischeri","Fischer's Lovebird","Agapornis fischeri_Fischer's Lovebird",NA,NA,NA
"Agapornis personatus","Yellow-collared Lovebird","Agapornis personatus_Yellow-collared Lovebird",NA,NA,NA
"Agapornis roseicollis","Rosy-faced Lovebird","Agapornis roseicollis_Rosy-faced Lovebird",NA,NA,NA
"Agapornis taranta","Black-winged Lovebird","Agapornis taranta_Black-winged Lovebird",NA,NA,NA
"Agelaioides badius","Greyish Baywing","Agelaioides badius_Greyish Baywing",NA,NA,NA
"Agelaius phoeniceus","Red-winged Blackbird","Agelaius phoeniceus_Red-winged Blackbird","Red-winged Blackbird","B-RWBL","birds"
"Agelaius tricolor","Tricoloured Blackbird","Agelaius tricolor_Tricoloured Blackbird",NA,NA,NA
"Agelasticus cyanopus","Unicoloured Blackbird","Agelasticus cyanopus_Unicoloured Blackbird",NA,NA,NA
"Agelasticus thilius","Yellow-winged Blackbird","Agelasticus thilius_Yellow-winged Blackbird",NA,NA,NA
"Agelasticus xanthophthalmus","Pale-eyed Blackbird","Agelasticus xanthophthalmus_Pale-eyed Blackbird",NA,NA,NA
"Aglaiocercus coelestis","Violet-tailed Sylph","Aglaiocercus coelestis_Violet-tailed Sylph",NA,NA,NA
