"Scientific Name","English Name.x","BirdNET","English Name.y","Species Code","Class (English)"
"Brachyramphus marmoratus","Marbled Murrelet","Brachyramphus marmoratus_Marbled Murrelet","Marbled Murrelet","B-MAMU","birds"
"Bradornis microrhynchus","African Grey Flycatcher","Bradornis microrhynchus_African Grey Flycatcher",NA,NA,NA
"Bradypterus baboecala","Little Rush Warbler","Bradypterus baboecala_Little Rush Warbler",NA,NA,NA
"Bradypterus barratti","Barratt's Warbler","Bradypterus barratti_Barratt's Warbler",NA,NA,NA
"Bradypterus brunneus","Brown Emutail","Bradypterus brunneus_Brown Emutail",NA,NA,NA
"Bradypterus carpalis","White-winged Swamp Warbler","Bradypterus carpalis_White-winged Swamp Warbler",NA,NA,NA
"Bradypterus cinnamomeus","Cinnamon Bracken-Warbler","Bradypterus cinnamomeus_Cinnamon Bracken-Warbler",NA,NA,NA
"Bradypterus lopezi","Evergreen-forest Warbler","Bradypterus lopezi_Evergreen-forest Warbler",NA,NA,NA
"Bradypterus sylvaticus","Knysna Warbler","Bradypterus sylvaticus_Knysna Warbler",NA,NA,NA
"Branta bernicla","Brent Goose","Branta bernicla_Brent Goose","Brant","B-BRAN","birds"
"Branta canadensis","Canada Goose","Branta canadensis_Canada Goose","Canada Goose","B-CAGO","birds"
"Branta hutchinsii","Cackling Goose","Branta hutchinsii_Cackling Goose","Cackling Goose","B-CKGO","birds"
"Branta leucopsis","Barnacle Goose","Branta leucopsis_Barnacle Goose",NA,NA,NA
"Branta sandvicensis","Hawaiian Goose","Branta sandvicensis_Hawaiian Goose",NA,NA,NA
"Brotogeris chiriri","Yellow-chevroned Parakeet","Brotogeris chiriri_Yellow-chevroned Parakeet",NA,NA,NA
"Brotogeris chrysoptera","Golden-winged Parakeet","Brotogeris chrysoptera_Golden-winged Parakeet",NA,NA,NA
"Brotogeris cyanoptera","Cobalt-winged Parakeet","Brotogeris cyanoptera_Cobalt-winged Parakeet",NA,NA,NA
"Brotogeris jugularis","Orange-chinned Parakeet","Brotogeris jugularis_Orange-chinned Parakeet",NA,NA,NA
"Brotogeris pyrrhoptera","Grey-cheeked Parakeet","Brotogeris pyrrhoptera_Grey-cheeked Parakeet",NA,NA,NA
"Brotogeris sanctithomae","Tui Parakeet","Brotogeris sanctithomae_Tui Parakeet",NA,NA,NA
"Brotogeris tirica","Plain Parakeet","Brotogeris tirica_Plain Parakeet",NA,NA,NA
"Brotogeris versicolurus","White-winged Parakeet","Brotogeris versicolurus_White-winged Parakeet",NA,NA,NA
"Bubalornis albirostris","White-billed Buffalo-Weaver","Bubalornis albirostris_White-billed Buffalo-Weaver",NA,NA,NA
"Bubalornis niger","Red-billed Buffalo-Weaver","Bubalornis niger_Red-billed Buffalo-Weaver",NA,NA,NA
"Bubo africanus","Spotted Eagle Owl","Bubo africanus_Spotted Eagle Owl",NA,NA,NA
"Bubo bengalensis","Rock Eagle Owl","Bubo bengalensis_Rock Eagle Owl",NA,NA,NA
"Bubo bubo","Eurasian Eagle Owl","Bubo bubo_Eurasian Eagle Owl",NA,NA,NA
"Bubo coromandus","Dusky Eagle-Owl","Bubo coromandus_Dusky Eagle-Owl",NA,NA,NA
"Bubo lacteus","Verreaux's Eagle-Owl","Bubo lacteus_Verreaux's Eagle-Owl",NA,NA,NA
"Bubo nipalensis","Spot-bellied Eagle-Owl","Bubo nipalensis_Spot-bellied Eagle-Owl",NA,NA,NA
"Bubo scandiacus","Snowy Owl","Bubo scandiacus_Snowy Owl","Snowy Owl","B-SNOW","birds"
"Bubo sumatranus","Barred Eagle-Owl","Bubo sumatranus_Barred Eagle-Owl",NA,NA,NA
"Bubo virginianus","Great Horned Owl","Bubo virginianus_Great Horned Owl","Great Horned Owl","B-GHOW","birds"
"Bubulcus ibis","Western Cattle Egret","Bubulcus ibis_Western Cattle Egret","Cattle Egret","B-CAEG","birds"
"Bucanetes githagineus","Trumpeter Finch","Bucanetes githagineus_Trumpeter Finch",NA,NA,NA
"Buccanodon duchaillui","Yellow-spotted Barbet","Buccanodon duchaillui_Yellow-spotted Barbet",NA,NA,NA
"Bucco capensis","Collared Puffbird","Bucco capensis_Collared Puffbird",NA,NA,NA
"Bucco macrodactylus","Chestnut-capped Puffbird","Bucco macrodactylus_Chestnut-capped Puffbird",NA,NA,NA
"Bucco tamatia","Spotted Puffbird","Bucco tamatia_Spotted Puffbird",NA,NA,NA
"Bucephala albeola","Bufflehead","Bucephala albeola_Bufflehead","Bufflehead","B-BUFF","birds"
"Bucephala clangula","Common Goldeneye","Bucephala clangula_Common Goldeneye","Common Goldeneye","B-COGO","birds"
"Bucephala islandica","Barrow's Goldeneye","Bucephala islandica_Barrow's Goldeneye","Barrow's Goldeneye","B-BAGO","birds"
"Buceros bicornis","Great Hornbill","Buceros bicornis_Great Hornbill",NA,NA,NA
"Buceros hydrocorax","Rufous Hornbill","Buceros hydrocorax_Rufous Hornbill",NA,NA,NA
"Buceros rhinoceros","Rhinoceros Hornbill","Buceros rhinoceros_Rhinoceros Hornbill",NA,NA,NA
"Buceros vigil","Helmeted Hornbill","Buceros vigil_Helmeted Hornbill",NA,NA,NA
"Bucorvus leadbeateri","Southern Ground-Hornbill","Bucorvus leadbeateri_Southern Ground-Hornbill",NA,NA,NA
"Bulweria bulwerii","Bulwer's Petrel","Bulweria bulwerii_Bulwer's Petrel",NA,NA,NA
"Buphagus africanus","Yellow-billed Oxpecker","Buphagus africanus_Yellow-billed Oxpecker",NA,NA,NA
"Buphagus erythrorynchus","Red-billed Oxpecker","Buphagus erythrorynchus_Red-billed Oxpecker",NA,NA,NA
"Burhinus bistriatus","Double-striped Thick-knee","Burhinus bistriatus_Double-striped Thick-knee",NA,NA,NA
"Burhinus capensis","Spotted Thick-knee","Burhinus capensis_Spotted Thick-knee",NA,NA,NA
"Burhinus grallarius","Bush Thick-knee","Burhinus grallarius_Bush Thick-knee",NA,NA,NA
"Burhinus indicus","Indian Thick-knee","Burhinus indicus_Indian Thick-knee",NA,NA,NA
"Burhinus oedicnemus","Stone-curlew","Burhinus oedicnemus_Stone-curlew",NA,NA,NA
"Burhinus senegalensis","Senegal Thick-knee","Burhinus senegalensis_Senegal Thick-knee",NA,NA,NA
"Burhinus superciliaris","Peruvian Thick-knee","Burhinus superciliaris_Peruvian Thick-knee",NA,NA,NA
"Burhinus vermiculatus","Water Thick-knee","Burhinus vermiculatus_Water Thick-knee",NA,NA,NA
"Busarellus nigricollis","Black-collared Hawk","Busarellus nigricollis_Black-collared Hawk",NA,NA,NA
"Butastur indicus","Grey-faced Buzzard","Butastur indicus_Grey-faced Buzzard",NA,NA,NA
"Butastur teesa","White-eyed Buzzard","Butastur teesa_White-eyed Buzzard",NA,NA,NA
"Buteo albigula","White-throated Hawk","Buteo albigula_White-throated Hawk",NA,NA,NA
"Buteo albonotatus","Zone-tailed Hawk","Buteo albonotatus_Zone-tailed Hawk",NA,NA,NA
"Buteo augur","Augur Buzzard","Buteo augur_Augur Buzzard",NA,NA,NA
"Buteo brachypterus","Madagascar Buzzard","Buteo brachypterus_Madagascar Buzzard",NA,NA,NA
"Buteo brachyurus","Short-tailed Hawk","Buteo brachyurus_Short-tailed Hawk",NA,NA,NA
"Buteo buteo","Common Buzzard","Buteo buteo_Common Buzzard",NA,NA,NA
"Buteo jamaicensis","Red-tailed Hawk","Buteo jamaicensis_Red-tailed Hawk","Red-tailed Hawk","B-RTHA","birds"
"Buteo japonicus","Eastern Buzzard","Buteo japonicus_Eastern Buzzard",NA,NA,NA
"Buteo lagopus","Rough-legged Buzzard","Buteo lagopus_Rough-legged Buzzard","Rough-legged Hawk","B-RLHA","birds"
"Buteo lineatus","Red-shouldered Hawk","Buteo lineatus_Red-shouldered Hawk","Red-shouldered Hawk","B-RSHA","birds"
"Buteo nitidus","Grey-lined Hawk","Buteo nitidus_Grey-lined Hawk",NA,NA,NA
"Buteo oreophilus","Mountain Buzzard","Buteo oreophilus_Mountain Buzzard",NA,NA,NA
"Buteo plagiatus","Grey Hawk","Buteo plagiatus_Grey Hawk",NA,NA,NA
"Buteo platypterus","Broad-winged Hawk","Buteo platypterus_Broad-winged Hawk","Broad-winged Hawk","B-BWHA","birds"
"Buteo regalis","Ferruginous Hawk","Buteo regalis_Ferruginous Hawk","Ferruginous Hawk","B-FEHA","birds"
"Buteo ridgwayi","Ridgway's Hawk","Buteo ridgwayi_Ridgway's Hawk",NA,NA,NA
"Buteo solitarius","Hawaiian Hawk","Buteo solitarius_Hawaiian Hawk",NA,NA,NA
"Buteo swainsoni","Swainson's Hawk","Buteo swainsoni_Swainson's Hawk","Swainson's Hawk","B-SWHA","birds"
"Buteogallus anthracinus","Common Black Hawk","Buteogallus anthracinus_Common Black Hawk",NA,NA,NA
"Buteogallus coronatus","Chaco Eagle","Buteogallus coronatus_Chaco Eagle",NA,NA,NA
"Buteogallus meridionalis","Savanna Hawk","Buteogallus meridionalis_Savanna Hawk",NA,NA,NA
"Buteogallus schistaceus","Slate-coloured Hawk","Buteogallus schistaceus_Slate-coloured Hawk",NA,NA,NA
"Buteogallus solitarius","Solitary Eagle","Buteogallus solitarius_Solitary Eagle",NA,NA,NA
"Buteogallus urubitinga","Great Black Hawk","Buteogallus urubitinga_Great Black Hawk",NA,NA,NA
"Buthraupis montana","Hooded Mountain Tanager","Buthraupis montana_Hooded Mountain Tanager",NA,NA,NA
"Butorides striata","Striated Heron","Butorides striata_Striated Heron",NA,NA,NA
"Butorides virescens","Green Heron","Butorides virescens_Green Heron","Green Heron","B-GRHE","birds"
"Bycanistes albotibialis","White-thighed Hornbill","Bycanistes albotibialis_White-thighed Hornbill",NA,NA,NA
"Bycanistes brevis","Silvery-cheeked Hornbill","Bycanistes brevis_Silvery-cheeked Hornbill",NA,NA,NA
"Bycanistes bucinator","Trumpeter Hornbill","Bycanistes bucinator_Trumpeter Hornbill",NA,NA,NA
"Bycanistes fistulator","Piping Hornbill","Bycanistes fistulator_Piping Hornbill",NA,NA,NA
"Bycanistes subcylindricus","Black-and-white-casqued Hornbill","Bycanistes subcylindricus_Black-and-white-casqued Hornbill",NA,NA,NA
"Cacatua alba","White Cockatoo","Cacatua alba_White Cockatoo",NA,NA,NA
"Cacatua ducorpsii","Ducorps's Cockatoo","Cacatua ducorpsii_Ducorps's Cockatoo",NA,NA,NA
"Cacatua galerita","Sulphur-crested Cockatoo","Cacatua galerita_Sulphur-crested Cockatoo",NA,NA,NA
"Cacatua goffiniana","Tanimbar Corella","Cacatua goffiniana_Tanimbar Corella",NA,NA,NA
"Cacatua sanguinea","Little Corella","Cacatua sanguinea_Little Corella",NA,NA,NA
"Cacatua tenuirostris","Long-billed Corella","Cacatua tenuirostris_Long-billed Corella",NA,NA,NA
"Cacicus cela","Yellow-rumped Cacique","Cacicus cela_Yellow-rumped Cacique",NA,NA,NA
"Cacicus chrysonotus","Mountain Cacique","Cacicus chrysonotus_Mountain Cacique",NA,NA,NA
"Cacicus chrysopterus","Golden-winged Cacique","Cacicus chrysopterus_Golden-winged Cacique",NA,NA,NA
"Cacicus haemorrhous","Red-rumped Cacique","Cacicus haemorrhous_Red-rumped Cacique",NA,NA,NA
"Cacicus latirostris","Band-tailed Cacique","Cacicus latirostris_Band-tailed Cacique",NA,NA,NA
"Cacicus oseryi","Casqued Cacique","Cacicus oseryi_Casqued Cacique",NA,NA,NA
"Cacicus solitarius","Solitary Black Cacique","Cacicus solitarius_Solitary Black Cacique",NA,NA,NA
"Cacicus uropygialis","Scarlet-rumped Cacique","Cacicus uropygialis_Scarlet-rumped Cacique",NA,NA,NA
"Cacomantis castaneiventris","Chestnut-breasted Cuckoo","Cacomantis castaneiventris_Chestnut-breasted Cuckoo",NA,NA,NA
"Cacomantis flabelliformis","Fan-tailed Cuckoo","Cacomantis flabelliformis_Fan-tailed Cuckoo",NA,NA,NA
"Cacomantis leucolophus","White-crowned Cuckoo","Cacomantis leucolophus_White-crowned Cuckoo",NA,NA,NA
"Cacomantis merulinus","Plaintive Cuckoo","Cacomantis merulinus_Plaintive Cuckoo",NA,NA,NA
"Cacomantis pallidus","Pallid Cuckoo","Cacomantis pallidus_Pallid Cuckoo",NA,NA,NA
"Cacomantis passerinus","Grey-bellied Cuckoo","Cacomantis passerinus_Grey-bellied Cuckoo",NA,NA,NA
"Cacomantis sonneratii","Banded Bay Cuckoo","Cacomantis sonneratii_Banded Bay Cuckoo",NA,NA,NA
"Cacomantis variolosus","Brush Cuckoo","Cacomantis variolosus_Brush Cuckoo",NA,NA,NA
"Cairina moschata","Muscovy Duck","Cairina moschata_Muscovy Duck",NA,NA,NA
"Calamanthus fuliginosus","Striated Fieldwren","Calamanthus fuliginosus_Striated Fieldwren",NA,NA,NA
"Calamonastes fasciolatus","Barred Wren-Warbler","Calamonastes fasciolatus_Barred Wren-Warbler",NA,NA,NA
"Calamonastes simplex","Grey Wren-Warbler","Calamonastes simplex_Grey Wren-Warbler",NA,NA,NA
"Calamonastes stierlingi","Stierling's Wren-Warbler","Calamonastes stierlingi_Stierling's Wren-Warbler",NA,NA,NA
"Calamospiza melanocorys","Lark Bunting","Calamospiza melanocorys_Lark Bunting","Lark Bunting","B-LKBU","birds"
"Calandrella acutirostris","Hume's Lark","Calandrella acutirostris_Hume's Lark",NA,NA,NA
"Calandrella brachydactyla","Greater Short-toed Lark","Calandrella brachydactyla_Greater Short-toed Lark",NA,NA,NA
"Calandrella cinerea","Red-capped Lark","Calandrella cinerea_Red-capped Lark",NA,NA,NA
"Calandrella dukhunensis","Mongolian Short-toed Lark","Calandrella dukhunensis_Mongolian Short-toed Lark",NA,NA,NA
"Calcarius lapponicus","Lapland Bunting","Calcarius lapponicus_Lapland Bunting","Lapland Longspur","B-LALO","birds"
"Calcarius ornatus","Chestnut-collared Longspur","Calcarius ornatus_Chestnut-collared Longspur","Chestnut-collared Longspur","B-CCLO","birds"
"Calcarius pictus","Smith's Longspur","Calcarius pictus_Smith's Longspur","Smith's Longspur","B-SMLO","birds"
"Calendulauda africanoides","Fawn-coloured Lark","Calendulauda africanoides_Fawn-coloured Lark",NA,NA,NA
"Calendulauda albescens","Karoo Lark","Calendulauda albescens_Karoo Lark",NA,NA,NA
"Calendulauda alopex","Foxy Lark","Calendulauda alopex_Foxy Lark",NA,NA,NA
"Calendulauda poecilosterna","Pink-breasted Lark","Calendulauda poecilosterna_Pink-breasted Lark",NA,NA,NA
"Calendulauda sabota","Sabota Lark","Calendulauda sabota_Sabota Lark",NA,NA,NA
"Calicalicus madagascariensis","Red-tailed Vanga","Calicalicus madagascariensis_Red-tailed Vanga",NA,NA,NA
"Calidris acuminata","Sharp-tailed Sandpiper","Calidris acuminata_Sharp-tailed Sandpiper","Sharp-tailed Sandpiper","B-SHSA","birds"
"Calidris alba","Sanderling","Calidris alba_Sanderling","Sanderling","B-SAND","birds"
"Calidris alpina","Dunlin","Calidris alpina_Dunlin","Dunlin","B-DUNL","birds"
"Calidris bairdii","Baird's Sandpiper","Calidris bairdii_Baird's Sandpiper","Baird's Sandpiper","B-BASA","birds"
"Calidris canutus","Red Knot","Calidris canutus_Red Knot","Red Knot","B-REKN","birds"
"Calidris falcinellus","Broad-billed Sandpiper","Calidris falcinellus_Broad-billed Sandpiper",NA,NA,NA
"Calidris ferruginea","Curlew Sandpiper","Calidris ferruginea_Curlew Sandpiper","Curlew Sandpiper","B-CUSA","birds"
"Calidris fuscicollis","White-rumped Sandpiper","Calidris fuscicollis_White-rumped Sandpiper","White-rumped Sandpiper","B-WRSA","birds"
"Calidris himantopus","Stilt Sandpiper","Calidris himantopus_Stilt Sandpiper","Stilt Sandpiper","B-STSA","birds"
"Calidris maritima","Purple Sandpiper","Calidris maritima_Purple Sandpiper","Purple Sandpiper","B-PUSA","birds"
"Calidris mauri","Western Sandpiper","Calidris mauri_Western Sandpiper","Western Sandpiper","B-WESA","birds"
"Calidris melanotos","Pectoral Sandpiper","Calidris melanotos_Pectoral Sandpiper","Pectoral Sandpiper","B-PESA","birds"
"Calidris minuta","Little Stint","Calidris minuta_Little Stint","Little Stint","B-LIST","birds"
"Calidris minutilla","Least Sandpiper","Calidris minutilla_Least Sandpiper","Least Sandpiper","B-LESA","birds"
"Calidris ptilocnemis","Rock Sandpiper","Calidris ptilocnemis_Rock Sandpiper","Rock Sandpiper","B-ROSA","birds"
"Calidris pugnax","Ruff","Calidris pugnax_Ruff","Ruff","B-RUFF","birds"
"Calidris pusilla","Semipalmated Sandpiper","Calidris pusilla_Semipalmated Sandpiper","Semipalmated Sandpiper","B-SESA","birds"
"Calidris pygmaea","Spoon-billed Sandpiper","Calidris pygmaea_Spoon-billed Sandpiper",NA,NA,NA
"Calidris ruficollis","Red-necked Stint","Calidris ruficollis_Red-necked Stint","Red-necked Stint","B-RNST","birds"
"Calidris subminuta","Long-toed Stint","Calidris subminuta_Long-toed Stint",NA,NA,NA
"Calidris subruficollis","Buff-breasted Sandpiper","Calidris subruficollis_Buff-breasted Sandpiper","Buff-breasted Sandpiper","B-BBSA","birds"
"Calidris temminckii","Temminck's Stint","Calidris temminckii_Temminck's Stint","Temminck's Stint","B-TEST","birds"
"Calidris tenuirostris","Great Knot","Calidris tenuirostris_Great Knot","Great Knot","B-GRKN","birds"
"Calidris virgata","Surfbird","Calidris virgata_Surfbird","Surfbird","B-SURF","birds"
"Caligavis chrysops","Yellow-faced Honeyeater","Caligavis chrysops_Yellow-faced Honeyeater",NA,NA,NA
"Caligavis subfrenata","Black-throated Honeyeater","Caligavis subfrenata_Black-throated Honeyeater",NA,NA,NA
"Callacanthis burtoni","Spectacled Finch","Callacanthis burtoni_Spectacled Finch",NA,NA,NA
"Callaeas wilsoni","North Island Kokako","Callaeas wilsoni_North Island Kokako",NA,NA,NA
"Calliope calliope","Siberian Rubythroat","Calliope calliope_Siberian Rubythroat",NA,NA,NA
"Calliope pectardens","Firethroat","Calliope pectardens_Firethroat",NA,NA,NA
"Calliope pectoralis","Himalayan Rubythroat","Calliope pectoralis_Himalayan Rubythroat",NA,NA,NA
"Calliope tschebaiewi","Chinese Rubythroat","Calliope tschebaiewi_Chinese Rubythroat",NA,NA,NA
"Callipepla californica","California Quail","Callipepla californica_California Quail","California Quail","B-CAQU","birds"
"Callipepla douglasii","Elegant Quail","Callipepla douglasii_Elegant Quail",NA,NA,NA
"Callipepla gambelii","Gambel's Quail","Callipepla gambelii_Gambel's Quail",NA,NA,NA
"Callipepla squamata","Scaled Quail","Callipepla squamata_Scaled Quail",NA,NA,NA
"Callocephalon fimbriatum","Gang-gang Cockatoo","Callocephalon fimbriatum_Gang-gang Cockatoo",NA,NA,NA
"Calocitta colliei","Black-throated Magpie-Jay","Calocitta colliei_Black-throated Magpie-Jay",NA,NA,NA
"Calocitta formosa","White-throated Magpie-Jay","Calocitta formosa_White-throated Magpie-Jay",NA,NA,NA
"Calonectris diomedea","Cory's Shearwater","Calonectris diomedea_Cory's Shearwater",NA,NA,NA
"Caloramphus fuliginosus","Brown Barbet","Caloramphus fuliginosus_Brown Barbet",NA,NA,NA
"Calothorax lucifer","Lucifer Hummingbird","Calothorax lucifer_Lucifer Hummingbird",NA,NA,NA
"Calypte anna","Anna's Hummingbird","Calypte anna_Anna's Hummingbird","Anna's Hummingbird","B-ANHU","birds"
"Calypte costae","Costa's Hummingbird","Calypte costae_Costa's Hummingbird","Costa's Hummingbird","B-COHU","birds"
"Calyptomena viridis","Green Broadbill","Calyptomena viridis_Green Broadbill",NA,NA,NA
"Calyptomena whiteheadi","Whitehead's Broadbill","Calyptomena whiteheadi_Whitehead's Broadbill",NA,NA,NA
"Calyptophilus frugivorus","Eastern Chat-Tanager","Calyptophilus frugivorus_Eastern Chat-Tanager",NA,NA,NA
"Calyptophilus tertius","Western Chat-Tanager","Calyptophilus tertius_Western Chat-Tanager",NA,NA,NA
"Calyptorhynchus banksii","Red-tailed Black-Cockatoo","Calyptorhynchus banksii_Red-tailed Black-Cockatoo",NA,NA,NA
"Calyptorhynchus funereus","Yellow-tailed Black-Cockatoo","Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo",NA,NA,NA
"Calyptorhynchus lathami","Glossy Black-Cockatoo","Calyptorhynchus lathami_Glossy Black-Cockatoo",NA,NA,NA
"Calyptorhynchus latirostris","Carnaby's Black-Cockatoo","Calyptorhynchus latirostris_Carnaby's Black-Cockatoo",NA,NA,NA
"Camaroptera brachyura","Green-backed Camaroptera","Camaroptera brachyura_Green-backed Camaroptera",NA,NA,NA
"Camaroptera chloronota","Olive-green Camaroptera","Camaroptera chloronota_Olive-green Camaroptera",NA,NA,NA
"Camaroptera superciliaris","Yellow-browed Camaroptera","Camaroptera superciliaris_Yellow-browed Camaroptera",NA,NA,NA
"Campephaga flava","Black Cuckooshrike","Campephaga flava_Black Cuckooshrike",NA,NA,NA
"Campephaga quiscalina","Purple-throated Cuckooshrike","Campephaga quiscalina_Purple-throated Cuckooshrike",NA,NA,NA
"Campephilus gayaquilensis","Guayaquil Woodpecker","Campephilus gayaquilensis_Guayaquil Woodpecker",NA,NA,NA
"Campephilus guatemalensis","Pale-billed Woodpecker","Campephilus guatemalensis_Pale-billed Woodpecker",NA,NA,NA
"Campephilus haematogaster","Crimson-bellied Woodpecker","Campephilus haematogaster_Crimson-bellied Woodpecker",NA,NA,NA
"Campephilus leucopogon","Cream-backed Woodpecker","Campephilus leucopogon_Cream-backed Woodpecker",NA,NA,NA
"Campephilus magellanicus","Magellanic Woodpecker","Campephilus magellanicus_Magellanic Woodpecker",NA,NA,NA
"Campephilus melanoleucos","Crimson-crested Woodpecker","Campephilus melanoleucos_Crimson-crested Woodpecker",NA,NA,NA
"Campephilus pollens","Powerful Woodpecker","Campephilus pollens_Powerful Woodpecker",NA,NA,NA
"Campephilus robustus","Robust Woodpecker","Campephilus robustus_Robust Woodpecker",NA,NA,NA
"Campephilus rubricollis","Red-necked Woodpecker","Campephilus rubricollis_Red-necked Woodpecker",NA,NA,NA
"Campethera abingoni","Golden-tailed Woodpecker","Campethera abingoni_Golden-tailed Woodpecker",NA,NA,NA
"Campethera cailliautii","Green-backed Woodpecker","Campethera cailliautii_Green-backed Woodpecker",NA,NA,NA
"Campethera mombassica","Mombasa Woodpecker","Campethera mombassica_Mombasa Woodpecker",NA,NA,NA
"Campethera nubica","Nubian Woodpecker","Campethera nubica_Nubian Woodpecker",NA,NA,NA
"Camptostoma imberbe","Northern Beardless-Tyrannulet","Camptostoma imberbe_Northern Beardless-Tyrannulet",NA,NA,NA
"Camptostoma obsoletum","Southern Beardless-Tyrannulet","Camptostoma obsoletum_Southern Beardless-Tyrannulet",NA,NA,NA
"Campylopterus falcatus","Lazuline Sabrewing","Campylopterus falcatus_Lazuline Sabrewing",NA,NA,NA
"Campylopterus hemileucurus","Violet Sabrewing","Campylopterus hemileucurus_Violet Sabrewing",NA,NA,NA
"Campylopterus largipennis","Grey-breasted Sabrewing","Campylopterus largipennis_Grey-breasted Sabrewing",NA,NA,NA
"Campylorhamphus falcularius","Black-billed Scythebill","Campylorhamphus falcularius_Black-billed Scythebill",NA,NA,NA
"Campylorhamphus procurvoides","Curve-billed Scythebill","Campylorhamphus procurvoides_Curve-billed Scythebill",NA,NA,NA
"Campylorhamphus pusillus","Brown-billed Scythebill","Campylorhamphus pusillus_Brown-billed Scythebill",NA,NA,NA
"Campylorhamphus trochilirostris","Red-billed Scythebill","Campylorhamphus trochilirostris_Red-billed Scythebill",NA,NA,NA
"Campylorhynchus albobrunneus","White-headed Wren","Campylorhynchus albobrunneus_White-headed Wren",NA,NA,NA
"Campylorhynchus brunneicapillus","Cactus Wren","Campylorhynchus brunneicapillus_Cactus Wren",NA,NA,NA
"Campylorhynchus chiapensis","Giant Wren","Campylorhynchus chiapensis_Giant Wren",NA,NA,NA
"Campylorhynchus fasciatus","Fasciated Wren","Campylorhynchus fasciatus_Fasciated Wren",NA,NA,NA
"Campylorhynchus griseus","Bicoloured Wren","Campylorhynchus griseus_Bicoloured Wren",NA,NA,NA
"Campylorhynchus gularis","Spotted Wren","Campylorhynchus gularis_Spotted Wren",NA,NA,NA
"Campylorhynchus jocosus","Boucard's Wren","Campylorhynchus jocosus_Boucard's Wren",NA,NA,NA
"Campylorhynchus megalopterus","Grey-barred Wren","Campylorhynchus megalopterus_Grey-barred Wren",NA,NA,NA
"Campylorhynchus nuchalis","Stripe-backed Wren","Campylorhynchus nuchalis_Stripe-backed Wren",NA,NA,NA
"Campylorhynchus rufinucha","Rufous-naped Wren","Campylorhynchus rufinucha_Rufous-naped Wren",NA,NA,NA
"Campylorhynchus turdinus","Thrush-like Wren","Campylorhynchus turdinus_Thrush-like Wren",NA,NA,NA
"Campylorhynchus yucatanicus","Yucatan Wren","Campylorhynchus yucatanicus_Yucatan Wren",NA,NA,NA
"Campylorhynchus zonatus","Band-backed Wren","Campylorhynchus zonatus_Band-backed Wren",NA,NA,NA
"Canachites canadensis","Spruce Grouse","Canachites canadensis_Spruce Grouse","Spruce Grouse","B-SPGR","birds"
"Canis latrans","Coyote","Canis latrans_Coyote","Coyote","M-CALA","mammals"
"Canis lupus","Gray Wolf","Canis lupus_Gray Wolf","Grey Wolf","M-CALU","mammals"
"Cantorchilus elutus","Isthmian Wren","Cantorchilus elutus_Isthmian Wren",NA,NA,NA
"Cantorchilus guarayanus","Fawn-breasted Wren","Cantorchilus guarayanus_Fawn-breasted Wren",NA,NA,NA
"Cantorchilus leucopogon","Stripe-throated Wren","Cantorchilus leucopogon_Stripe-throated Wren",NA,NA,NA
"Cantorchilus leucotis","Buff-breasted Wren","Cantorchilus leucotis_Buff-breasted Wren",NA,NA,NA
"Cantorchilus longirostris","Long-billed Wren","Cantorchilus longirostris_Long-billed Wren",NA,NA,NA
"Cantorchilus modestus","Cabanis's Wren","Cantorchilus modestus_Cabanis's Wren",NA,NA,NA
"Cantorchilus nigricapillus","Bay Wren","Cantorchilus nigricapillus_Bay Wren",NA,NA,NA
"Cantorchilus semibadius","Riverside Wren","Cantorchilus semibadius_Riverside Wren",NA,NA,NA
"Cantorchilus superciliaris","Superciliated Wren","Cantorchilus superciliaris_Superciliated Wren",NA,NA,NA
"Cantorchilus thoracicus","Stripe-breasted Wren","Cantorchilus thoracicus_Stripe-breasted Wren",NA,NA,NA
"Cantorchilus zeledoni","Canebrake Wren","Cantorchilus zeledoni_Canebrake Wren",NA,NA,NA
"Capito auratus","Gilded Barbet","Capito auratus_Gilded Barbet",NA,NA,NA
"Capito aurovirens","Scarlet-crowned Barbet","Capito aurovirens_Scarlet-crowned Barbet",NA,NA,NA
"Capito dayi","Black-girdled Barbet","Capito dayi_Black-girdled Barbet",NA,NA,NA
"Capito hypoleucus","White-mantled Barbet","Capito hypoleucus_White-mantled Barbet",NA,NA,NA
"Capito niger","Black-spotted Barbet","Capito niger_Black-spotted Barbet",NA,NA,NA
"Capito quinticolor","Five-coloured Barbet","Capito quinticolor_Five-coloured Barbet",NA,NA,NA
"Capito squamatus","Orange-fronted Barbet","Capito squamatus_Orange-fronted Barbet",NA,NA,NA
"Capito wallacei","Scarlet-banded Barbet","Capito wallacei_Scarlet-banded Barbet",NA,NA,NA
"Caprimulgus affinis","Savanna Nightjar","Caprimulgus affinis_Savanna Nightjar",NA,NA,NA
"Caprimulgus asiaticus","Indian Nightjar","Caprimulgus asiaticus_Indian Nightjar",NA,NA,NA
"Caprimulgus atripennis","Jerdon's Nightjar","Caprimulgus atripennis_Jerdon's Nightjar",NA,NA,NA
"Caprimulgus clarus","Slender-tailed Nightjar","Caprimulgus clarus_Slender-tailed Nightjar",NA,NA,NA
"Caprimulgus climacurus","Long-tailed Nightjar","Caprimulgus climacurus_Long-tailed Nightjar",NA,NA,NA
