Scientific Name,English Name (BirdNET),BirdNET,English Name (in BC),Class (if in BC list)
Dysithamnus occidentalis,Bicoloured Antvireo,Dysithamnus occidentalis_Bicoloured Antvireo,NA,NA
Dysithamnus plumbeus,Plumbeous Antvireo,Dysithamnus plumbeus_Plumbeous Antvireo,NA,NA
Dysithamnus puncticeps,Spot-crowned Antvireo,Dysithamnus puncticeps_Spot-crowned Antvireo,NA,NA
Dysithamnus stictothorax,Spot-breasted Antvireo,Dysithamnus stictothorax_Spot-breasted Antvireo,NA,NA
Dysithamnus striaticeps,Streak-crowned Antvireo,Dysithamnus striaticeps_Streak-crowned Antvireo,NA,NA
Dysithamnus xanthopterus,Rufous-backed Antvireo,Dysithamnus xanthopterus_Rufous-backed Antvireo,NA,NA
Eclectus roratus,Moluccan Eclectus,Eclectus roratus_Moluccan Eclectus,NA,NA
Edolisoma montanum,Black-bellied Cicadabird,Edolisoma montanum_Black-bellied Cicadabird,NA,NA
Edolisoma tenuirostre,Common Cicadabird,Edolisoma tenuirostre_Common Cicadabird,NA,NA
Chondestes grammacus,Lark Sparrow,Chondestes grammacus_Lark Sparrow,Lark Sparrow,birds
Egretta eulophotes,Chinese Egret,Egretta eulophotes_Chinese Egret,NA,NA
Egretta garzetta,Little Egret,Egretta garzetta_Little Egret,NA,NA
Egretta gularis,Western Reef-Heron,Egretta gularis_Western Reef-Heron,NA,NA
Egretta novaehollandiae,White-faced Heron,Egretta novaehollandiae_White-faced Heron,NA,NA
Egretta rufescens,Reddish Egret,Egretta rufescens_Reddish Egret,NA,NA
Egretta sacra,Pacific Reef-Heron,Egretta sacra_Pacific Reef-Heron,NA,NA
Chordeiles acutipennis,Lesser Nighthawk,Chordeiles acutipennis_Lesser Nighthawk,Lesser Nighthawk,birds
Chordeiles minor,Common Nighthawk,Chordeiles minor_Common Nighthawk,Common Nighthawk,birds
Elachura formosa,Spotted Elachura,Elachura formosa_Spotted Elachura,NA,NA
Elaenia albiceps,White-crested Elaenia,Elaenia albiceps_White-crested Elaenia,NA,NA
Elaenia brachyptera,Coopmans's Elaenia,Elaenia brachyptera_Coopmans's Elaenia,NA,NA
Elaenia chiriquensis,Lesser Elaenia,Elaenia chiriquensis_Lesser Elaenia,NA,NA
Elaenia cristata,Plain-crested Elaenia,Elaenia cristata_Plain-crested Elaenia,NA,NA
Elaenia fallax,Greater Antillean Elaenia,Elaenia fallax_Greater Antillean Elaenia,NA,NA
Elaenia flavogaster,Yellow-bellied Elaenia,Elaenia flavogaster_Yellow-bellied Elaenia,NA,NA
Elaenia frantzii,Mountain Elaenia,Elaenia frantzii_Mountain Elaenia,NA,NA
Elaenia gigas,Mottle-backed Elaenia,Elaenia gigas_Mottle-backed Elaenia,NA,NA
Elaenia martinica,Caribbean Elaenia,Elaenia martinica_Caribbean Elaenia,NA,NA
Elaenia mesoleuca,Olivaceous Elaenia,Elaenia mesoleuca_Olivaceous Elaenia,NA,NA
Elaenia obscura,Highland Elaenia,Elaenia obscura_Highland Elaenia,NA,NA
Elaenia olivina,Tepui Elaenia,Elaenia olivina_Tepui Elaenia,NA,NA
Elaenia pallatangae,Sierran Elaenia,Elaenia pallatangae_Sierran Elaenia,NA,NA
Elaenia parvirostris,Small-billed Elaenia,Elaenia parvirostris_Small-billed Elaenia,NA,NA
Elaenia ruficeps,Rufous-crowned Elaenia,Elaenia ruficeps_Rufous-crowned Elaenia,NA,NA
Elaenia sordida,Small-headed Elaenia,Elaenia sordida_Small-headed Elaenia,NA,NA
Elaenia spectabilis,Large Elaenia,Elaenia spectabilis_Large Elaenia,NA,NA
Elaenia strepera,Slaty Elaenia,Elaenia strepera_Slaty Elaenia,NA,NA
Elanoides forficatus,Swallow-tailed Kite,Elanoides forficatus_Swallow-tailed Kite,NA,NA
Elanus caeruleus,Black-winged Kite,Elanus caeruleus_Black-winged Kite,NA,NA
Chroicocephalus philadelphia,Bonaparte's Gull,Chroicocephalus philadelphia_Bonaparte's Gull,Bonaparte's Gull,birds
Electron carinatum,Keel-billed Motmot,Electron carinatum_Keel-billed Motmot,NA,NA
Electron platyrhynchum,Broad-billed Motmot,Electron platyrhynchum_Broad-billed Motmot,NA,NA
Eleoscytalopus indigoticus,White-breasted Tapaculo,Eleoscytalopus indigoticus_White-breasted Tapaculo,NA,NA
Eleothreptus anomalus,Sickle-winged Nightjar,Eleothreptus anomalus_Sickle-winged Nightjar,NA,NA
Eleutherodactylus planirostris,Greenhouse Frog,Eleutherodactylus planirostris_Greenhouse Frog,NA,NA
Elliotomyia chionogaster,White-bellied Hummingbird,Elliotomyia chionogaster_White-bellied Hummingbird,NA,NA
Elminia albonotata,White-tailed Crested Flycatcher,Elminia albonotata_White-tailed Crested Flycatcher,NA,NA
Elminia longicauda,African Blue Flycatcher,Elminia longicauda_African Blue Flycatcher,NA,NA
Elseyornis melanops,Black-fronted Dotterel,Elseyornis melanops_Black-fronted Dotterel,NA,NA
Emarginata sinuata,Sickle-winged Chat,Emarginata sinuata_Sickle-winged Chat,NA,NA
Emberiza aureola,Yellow-breasted Bunting,Emberiza aureola_Yellow-breasted Bunting,NA,NA
Emberiza bruniceps,Red-headed Bunting,Emberiza bruniceps_Red-headed Bunting,NA,NA
Emberiza buchanani,Grey-necked Bunting,Emberiza buchanani_Grey-necked Bunting,NA,NA
Emberiza cabanisi,Cabanis's Bunting,Emberiza cabanisi_Cabanis's Bunting,NA,NA
Emberiza caesia,Cretzschmar's Bunting,Emberiza caesia_Cretzschmar's Bunting,NA,NA
Emberiza calandra,Corn Bunting,Emberiza calandra_Corn Bunting,NA,NA
Emberiza capensis,Cape Bunting,Emberiza capensis_Cape Bunting,NA,NA
Emberiza chrysophrys,Yellow-browed Bunting,Emberiza chrysophrys_Yellow-browed Bunting,NA,NA
Emberiza cia,Rock Bunting,Emberiza cia_Rock Bunting,NA,NA
Emberiza cineracea,Cinereous Bunting,Emberiza cineracea_Cinereous Bunting,NA,NA
Emberiza cioides,Meadow Bunting,Emberiza cioides_Meadow Bunting,NA,NA
Emberiza cirlus,Cirl Bunting,Emberiza cirlus_Cirl Bunting,NA,NA
Emberiza citrinella,Yellowhammer,Emberiza citrinella_Yellowhammer,NA,NA
Emberiza elegans,Yellow-throated Bunting,Emberiza elegans_Yellow-throated Bunting,NA,NA
Emberiza flaviventris,Golden-breasted Bunting,Emberiza flaviventris_Golden-breasted Bunting,NA,NA
Emberiza fucata,Chestnut-eared Bunting,Emberiza fucata_Chestnut-eared Bunting,NA,NA
Emberiza godlewskii,Godlewski's Bunting,Emberiza godlewskii_Godlewski's Bunting,NA,NA
Emberiza hortulana,Ortolan Bunting,Emberiza hortulana_Ortolan Bunting,NA,NA
Emberiza impetuani,Lark-like Bunting,Emberiza impetuani_Lark-like Bunting,NA,NA
Emberiza lathami,Crested Bunting,Emberiza lathami_Crested Bunting,NA,NA
Emberiza leucocephalos,Pine Bunting,Emberiza leucocephalos_Pine Bunting,NA,NA
Emberiza melanocephala,Black-headed Bunting,Emberiza melanocephala_Black-headed Bunting,NA,NA
Emberiza pallasi,Pallas's Reed Bunting,Emberiza pallasi_Pallas's Reed Bunting,NA,NA
Emberiza pusilla,Little Bunting,Emberiza pusilla_Little Bunting,NA,NA
Chroicocephalus ridibundus,Black-headed Gull,Chroicocephalus ridibundus_Black-headed Gull,Black-headed Gull,birds
Emberiza sahari,House Bunting,Emberiza sahari_House Bunting,NA,NA
Emberiza schoeniclus,Common Reed Bunting,Emberiza schoeniclus_Common Reed Bunting,NA,NA
Emberiza spodocephala,Black-faced Bunting,Emberiza spodocephala_Black-faced Bunting,NA,NA
Emberiza stewarti,White-capped Bunting,Emberiza stewarti_White-capped Bunting,NA,NA
Emberiza striolata,Striolated Bunting,Emberiza striolata_Striolated Bunting,NA,NA
Emberiza sulphurata,Yellow Bunting,Emberiza sulphurata_Yellow Bunting,NA,NA
Emberiza tahapisi,Cinnamon-breasted Bunting,Emberiza tahapisi_Cinnamon-breasted Bunting,NA,NA
Emberiza tristrami,Tristram's Bunting,Emberiza tristrami_Tristram's Bunting,NA,NA
Emberiza variabilis,Grey Bunting,Emberiza variabilis_Grey Bunting,NA,NA
Emberiza yessoensis,Ochre-rumped Bunting,Emberiza yessoensis_Ochre-rumped Bunting,NA,NA
Emberizoides herbicola,Wedge-tailed Grass-Finch,Emberizoides herbicola_Wedge-tailed Grass-Finch,NA,NA
Emberizoides ypiranganus,Lesser Grass-Finch,Emberizoides ypiranganus_Lesser Grass-Finch,NA,NA
Embernagra longicauda,Pale-throated Pampa-Finch,Embernagra longicauda_Pale-throated Pampa-Finch,NA,NA
Embernagra platensis,Great Pampa-Finch,Embernagra platensis_Great Pampa-Finch,NA,NA
Eminia lepida,Grey-capped Warbler,Eminia lepida_Grey-capped Warbler,NA,NA
Empidonax affinis,Pine Flycatcher,Empidonax affinis_Pine Flycatcher,NA,NA
Empidonax albigularis,White-throated Flycatcher,Empidonax albigularis_White-throated Flycatcher,NA,NA
Cinclus mexicanus,American Dipper,Cinclus mexicanus_American Dipper,American Dipper,birds
Empidonax atriceps,Black-capped Flycatcher,Empidonax atriceps_Black-capped Flycatcher,NA,NA
Circus hudsonius,Northern Harrier,Circus hudsonius_Northern Harrier,Northern Harrier,birds
Empidonax flavescens,Yellowish Flycatcher,Empidonax flavescens_Yellowish Flycatcher,NA,NA
Cistothorus palustris,Marsh Wren,Cistothorus palustris_Marsh Wren,Marsh Wren,birds
Empidonax fulvifrons,Buff-breasted Flycatcher,Empidonax fulvifrons_Buff-breasted Flycatcher,NA,NA
Cistothorus stellaris,Sedge Wren,Cistothorus stellaris_Sedge Wren,Sedge Wren,birds
Clangula hyemalis,Long-tailed Duck,Clangula hyemalis_Long-tailed Duck,Long-tailed Duck,birds
Coccothraustes vespertinus,Evening Grosbeak,Coccothraustes vespertinus_Evening Grosbeak,Evening Grosbeak,birds
Empidonax occidentalis,Cordilleran Flycatcher,Empidonax occidentalis_Cordilleran Flycatcher,NA,NA
Coccyzus americanus,Yellow-billed Cuckoo,Coccyzus americanus_Yellow-billed Cuckoo,Yellow-billed Cuckoo,birds
Coccyzus erythropthalmus,Black-billed Cuckoo,Coccyzus erythropthalmus_Black-billed Cuckoo,Black-billed Cuckoo,birds
Colaptes auratus,Northern Flicker,Colaptes auratus_Northern Flicker,Northern Flicker,birds
Empidonomus aurantioatrocristatus,Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus_Crowned Slaty Flycatcher,NA,NA
Empidonomus varius,Variegated Flycatcher,Empidonomus varius_Variegated Flycatcher,NA,NA
Engine,Engine,Engine_Engine,NA,NA
Enicognathus ferrugineus,Austral Parakeet,Enicognathus ferrugineus_Austral Parakeet,NA,NA
Enicognathus leptorhynchus,Slender-billed Parakeet,Enicognathus leptorhynchus_Slender-billed Parakeet,NA,NA
Enicurus leschenaulti,White-crowned Forktail,Enicurus leschenaulti_White-crowned Forktail,NA,NA
Enicurus maculatus,Spotted Forktail,Enicurus maculatus_Spotted Forktail,NA,NA
Enicurus schistaceus,Slaty-backed Forktail,Enicurus schistaceus_Slaty-backed Forktail,NA,NA
Entomodestes coracinus,Black Solitaire,Entomodestes coracinus_Black Solitaire,NA,NA
Entomodestes leucotis,White-eared Solitaire,Entomodestes leucotis_White-eared Solitaire,NA,NA
Entomyzon cyanotis,Blue-faced Honeyeater,Entomyzon cyanotis_Blue-faced Honeyeater,NA,NA
Environmental,Environmental,Environmental_Environmental,NA,NA
Eolophus roseicapilla,Galah,Eolophus roseicapilla_Galah,NA,NA
Eophona migratoria,Yellow-billed Grosbeak,Eophona migratoria_Yellow-billed Grosbeak,NA,NA
Eophona personata,Japanese Grosbeak,Eophona personata_Japanese Grosbeak,NA,NA
Eopsaltria australis,Eastern Yellow Robin,Eopsaltria australis_Eastern Yellow Robin,NA,NA
Epimachus fastosus,Black Sicklebill,Epimachus fastosus_Black Sicklebill,NA,NA
Epimachus meyeri,Brown Sicklebill,Epimachus meyeri_Brown Sicklebill,NA,NA
Epinecrophylla amazonica,Rio Madeira Stipplethroat,Epinecrophylla amazonica_Rio Madeira Stipplethroat,NA,NA
Epinecrophylla erythrura,Rufous-tailed Stipplethroat,Epinecrophylla erythrura_Rufous-tailed Stipplethroat,NA,NA
Epinecrophylla fulviventris,Checker-throated Stipplethroat,Epinecrophylla fulviventris_Checker-throated Stipplethroat,NA,NA
Epinecrophylla gutturalis,Brown-bellied Stipplethroat,Epinecrophylla gutturalis_Brown-bellied Stipplethroat,NA,NA
Epinecrophylla haematonota,Rufous-backed Stipplethroat,Epinecrophylla haematonota_Rufous-backed Stipplethroat,NA,NA
Epinecrophylla leucophthalma,White-eyed Stipplethroat,Epinecrophylla leucophthalma_White-eyed Stipplethroat,NA,NA
Epinecrophylla ornata,Ornate Stipplethroat,Epinecrophylla ornata_Ornate Stipplethroat,NA,NA
Epinecrophylla spodionota,Foothill Stipplethroat,Epinecrophylla spodionota_Foothill Stipplethroat,NA,NA
Epthianura tricolor,Crimson Chat,Epthianura tricolor_Crimson Chat,NA,NA
Eremomela gregalis,Yellow-rumped Eremomela,Eremomela gregalis_Yellow-rumped Eremomela,NA,NA
Eremomela icteropygialis,Yellow-bellied Eremomela,Eremomela icteropygialis_Yellow-bellied Eremomela,NA,NA
Eremomela pusilla,Senegal Eremomela,Eremomela pusilla_Senegal Eremomela,NA,NA
Eremomela scotops,Greencap Eremomela,Eremomela scotops_Greencap Eremomela,NA,NA
Colibri thalassinus,Mexican Violetear,Colibri thalassinus_Mexican Violetear,Mexican Violetear,birds
Eremopterix griseus,Ashy-crowned Sparrow-Lark,Eremopterix griseus_Ashy-crowned Sparrow-Lark,NA,NA
Eremopterix hova,Madagascar Lark,Eremopterix hova_Madagascar Lark,NA,NA
Eremopterix nigriceps,Black-crowned Sparrow-Lark,Eremopterix nigriceps_Black-crowned Sparrow-Lark,NA,NA
Erithacus rubecula,European Robin,Erithacus rubecula_European Robin,NA,NA
Erpornis zantholeuca,White-bellied Erpornis,Erpornis zantholeuca_White-bellied Erpornis,NA,NA
Erythrocercus holochlorus,Yellow Flycatcher,Erythrocercus holochlorus_Yellow Flycatcher,NA,NA
Erythrogenys erythrocnemis,Black-necklaced Scimitar-Babbler,Erythrogenys erythrocnemis_Black-necklaced Scimitar-Babbler,NA,NA
Erythrogenys erythrogenys,Rusty-cheeked Scimitar-Babbler,Erythrogenys erythrogenys_Rusty-cheeked Scimitar-Babbler,NA,NA
Erythrogenys gravivox,Black-streaked Scimitar-Babbler,Erythrogenys gravivox_Black-streaked Scimitar-Babbler,NA,NA
Erythrogenys hypoleucos,Large Scimitar-Babbler,Erythrogenys hypoleucos_Large Scimitar-Babbler,NA,NA
Erythrogenys mcclellandi,Spot-breasted Scimitar-Babbler,Erythrogenys mcclellandi_Spot-breasted Scimitar-Babbler,NA,NA
Erythrogenys swinhoei,Grey-sided Scimitar-Babbler,Erythrogenys swinhoei_Grey-sided Scimitar-Babbler,NA,NA
Erythropitta arquata,Blue-banded Pitta,Erythropitta arquata_Blue-banded Pitta,NA,NA
Erythropitta erythrogaster,Philippine Pitta,Erythropitta erythrogaster_Philippine Pitta,NA,NA
Erythropitta granatina,Garnet Pitta,Erythropitta granatina_Garnet Pitta,NA,NA
Erythropitta macklotii,South Papuan Pitta,Erythropitta macklotii_South Papuan Pitta,NA,NA
Erythropitta rufiventris,North Moluccan Pitta,Erythropitta rufiventris_North Moluccan Pitta,NA,NA
Erythropitta ussheri,Black-crowned Pitta,Erythropitta ussheri_Black-crowned Pitta,NA,NA
Erythrura trichroa,Blue-faced Parrotfinch,Erythrura trichroa_Blue-faced Parrotfinch,NA,NA
Esacus magnirostris,Beach Thick-knee,Esacus magnirostris_Beach Thick-knee,NA,NA
Esacus recurvirostris,Great Thick-knee,Esacus recurvirostris_Great Thick-knee,NA,NA
Estrilda astrild,Common Waxbill,Estrilda astrild_Common Waxbill,NA,NA
Estrilda melpoda,Orange-cheeked Waxbill,Estrilda melpoda_Orange-cheeked Waxbill,NA,NA
Estrilda nonnula,Black-crowned Waxbill,Estrilda nonnula_Black-crowned Waxbill,NA,NA
Estrilda paludicola,Fawn-breasted Waxbill,Estrilda paludicola_Fawn-breasted Waxbill,NA,NA
Estrilda troglodytes,Black-rumped Waxbill,Estrilda troglodytes_Black-rumped Waxbill,NA,NA
Eubucco bourcierii,Red-headed Barbet,Eubucco bourcierii_Red-headed Barbet,NA,NA
Eubucco richardsoni,Lemon-throated Barbet,Eubucco richardsoni_Lemon-throated Barbet,NA,NA
Euchrepomis callinota,Rufous-rumped Antwren,Euchrepomis callinota_Rufous-rumped Antwren,NA,NA
Euchrepomis humeralis,Chestnut-shouldered Antwren,Euchrepomis humeralis_Chestnut-shouldered Antwren,NA,NA
Euchrepomis spodioptila,Ash-winged Antwren,Euchrepomis spodioptila_Ash-winged Antwren,NA,NA
Eucometis penicillata,Grey-headed Tanager,Eucometis penicillata_Grey-headed Tanager,NA,NA
Eudocimus albus,White Ibis,Eudocimus albus_White Ibis,NA,NA
Eudromia elegans,Elegant Crested-Tinamou,Eudromia elegans_Elegant Crested-Tinamou,NA,NA
Eudynamys melanorhynchus,Black-billed Koel,Eudynamys melanorhynchus_Black-billed Koel,NA,NA
Eudynamys orientalis,Pacific Koel,Eudynamys orientalis_Pacific Koel,NA,NA
Eudynamys scolopaceus,Asian Koel,Eudynamys scolopaceus_Asian Koel,NA,NA
Eudyptes chrysocome,Southern Rockhopper Penguin,Eudyptes chrysocome_Southern Rockhopper Penguin,NA,NA
Eudyptula minor,Little Penguin,Eudyptula minor_Little Penguin,NA,NA
Columba livia,Rock Dove,Columba livia_Rock Dove,Rock Pigeon,birds
Eugenes spectabilis,Talamanca Hummingbird,Eugenes spectabilis_Talamanca Hummingbird,NA,NA
Eugralla paradoxa,Ochre-flanked Tapaculo,Eugralla paradoxa_Ochre-flanked Tapaculo,NA,NA
Eumomota superciliosa,Turquoise-browed Motmot,Eumomota superciliosa_Turquoise-browed Motmot,NA,NA
Eumyias albicaudatus,Nilgiri Flycatcher,Eumyias albicaudatus_Nilgiri Flycatcher,NA,NA
Eumyias indigo,Indigo Flycatcher,Eumyias indigo_Indigo Flycatcher,NA,NA
Eumyias panayensis,Turquoise Flycatcher,Eumyias panayensis_Turquoise Flycatcher,NA,NA
Eumyias thalassinus,Verditer Flycatcher,Eumyias thalassinus_Verditer Flycatcher,NA,NA
Eunemobius carolinus,Carolina Ground Cricket,Eunemobius carolinus_Carolina Ground Cricket,NA,NA
Eunemobius confusus,Confused Ground Cricket,Eunemobius confusus_Confused Ground Cricket,NA,NA
Euodice cantans,African Silverbill,Euodice cantans_African Silverbill,NA,NA
Euodice malabarica,Indian Silverbill,Euodice malabarica_Indian Silverbill,NA,NA
Eupetes macrocerus,Malaysian Rail-babbler,Eupetes macrocerus_Malaysian Rail-babbler,NA,NA
Eupetomena cirrochloris,Sombre Hummingbird,Eupetomena cirrochloris_Sombre Hummingbird,NA,NA
Eupetomena macroura,Swallow-tailed Hummingbird,Eupetomena macroura_Swallow-tailed Hummingbird,NA,NA
Contopus cooperi,Olive-sided Flycatcher,Contopus cooperi_Olive-sided Flycatcher,Olive-sided Flycatcher,birds
Contopus sordidulus,Western Wood-Pewee,Contopus sordidulus_Western Wood-Pewee,Western Wood-Pewee,birds
Eupherusa eximia,Stripe-tailed Hummingbird,Eupherusa eximia_Stripe-tailed Hummingbird,NA,NA
Euphonia affinis,Scrub Euphonia,Euphonia affinis_Scrub Euphonia,NA,NA
Euphonia anneae,Tawny-capped Euphonia,Euphonia anneae_Tawny-capped Euphonia,NA,NA
Euphonia cayennensis,Golden-sided Euphonia,Euphonia cayennensis_Golden-sided Euphonia,NA,NA
Euphonia chalybea,Green-throated Euphonia,Euphonia chalybea_Green-throated Euphonia,NA,NA
Euphonia chlorotica,Purple-throated Euphonia,Euphonia chlorotica_Purple-throated Euphonia,NA,NA
Euphonia chrysopasta,Golden-bellied Euphonia,Euphonia chrysopasta_Golden-bellied Euphonia,NA,NA
Euphonia concinna,Velvet-fronted Euphonia,Euphonia concinna_Velvet-fronted Euphonia,NA,NA
Euphonia finschi,Finsch's Euphonia,Euphonia finschi_Finsch's Euphonia,NA,NA
Euphonia fulvicrissa,Fulvous-vented Euphonia,Euphonia fulvicrissa_Fulvous-vented Euphonia,NA,NA
Euphonia gouldi,Olive-backed Euphonia,Euphonia gouldi_Olive-backed Euphonia,NA,NA
Euphonia hirundinacea,Yellow-throated Euphonia,Euphonia hirundinacea_Yellow-throated Euphonia,NA,NA
Euphonia imitans,Spot-crowned Euphonia,Euphonia imitans_Spot-crowned Euphonia,NA,NA
Euphonia laniirostris,Thick-billed Euphonia,Euphonia laniirostris_Thick-billed Euphonia,NA,NA
Euphonia luteicapilla,Yellow-crowned Euphonia,Euphonia luteicapilla_Yellow-crowned Euphonia,NA,NA
Euphonia mesochrysa,Bronze-green Euphonia,Euphonia mesochrysa_Bronze-green Euphonia,NA,NA
Euphonia minuta,White-vented Euphonia,Euphonia minuta_White-vented Euphonia,NA,NA
Euphonia pectoralis,Chestnut-bellied Euphonia,Euphonia pectoralis_Chestnut-bellied Euphonia,NA,NA
Euphonia plumbea,Plumbeous Euphonia,Euphonia plumbea_Plumbeous Euphonia,NA,NA
Euphonia rufiventris,Rufous-bellied Euphonia,Euphonia rufiventris_Rufous-bellied Euphonia,NA,NA
Euphonia trinitatis,Trinidad Euphonia,Euphonia trinitatis_Trinidad Euphonia,NA,NA
Euphonia violacea,Violaceous Euphonia,Euphonia violacea_Violaceous Euphonia,NA,NA
Euphonia xanthogaster,Orange-bellied Euphonia,Euphonia xanthogaster_Orange-bellied Euphonia,NA,NA
Euplectes afer,Yellow-crowned Bishop,Euplectes afer_Yellow-crowned Bishop,NA,NA
Euplectes ardens,Red-collared Widowbird,Euplectes ardens_Red-collared Widowbird,NA,NA
Euplectes capensis,Yellow Bishop,Euplectes capensis_Yellow Bishop,NA,NA
Euplectes franciscanus,Northern Red Bishop,Euplectes franciscanus_Northern Red Bishop,NA,NA
Euplectes hordeaceus,Black-winged Bishop,Euplectes hordeaceus_Black-winged Bishop,NA,NA
Euplectes orix,Southern Red Bishop,Euplectes orix_Southern Red Bishop,NA,NA
Euplectes progne,Long-tailed Widowbird,Euplectes progne_Long-tailed Widowbird,NA,NA
Eupodotis afra,Black Bustard,Eupodotis afra_Black Bustard,NA,NA
Eupodotis afraoides,White-quilled Bustard,Eupodotis afraoides_White-quilled Bustard,NA,NA
Eupodotis caerulescens,Blue Bustard,Eupodotis caerulescens_Blue Bustard,NA,NA
Eupodotis ruficrista,Red-crested Bustard,Eupodotis ruficrista_Red-crested Bustard,NA,NA
Eupodotis senegalensis,White-bellied Bustard,Eupodotis senegalensis_White-bellied Bustard,NA,NA
Eupodotis vigorsii,Karoo Bustard,Eupodotis vigorsii_Karoo Bustard,NA,NA
Eupsittula aurea,Peach-fronted Parakeet,Eupsittula aurea_Peach-fronted Parakeet,NA,NA
Eupsittula cactorum,Cactus Parakeet,Eupsittula cactorum_Cactus Parakeet,NA,NA
Eupsittula canicularis,Orange-fronted Parakeet,Eupsittula canicularis_Orange-fronted Parakeet,NA,NA
Eupsittula nana,Olive-throated Parakeet,Eupsittula nana_Olive-throated Parakeet,NA,NA
Eupsittula pertinax,Brown-throated Parakeet,Eupsittula pertinax_Brown-throated Parakeet,NA,NA
Euptilotis neoxenus,Eared Quetzal,Euptilotis neoxenus_Eared Quetzal,NA,NA
Eurillas ansorgei,Ansorge's Greenbul,Eurillas ansorgei_Ansorge's Greenbul,NA,NA
Eurillas curvirostris,Plain Greenbul,Eurillas curvirostris_Plain Greenbul,NA,NA
Eurillas latirostris,Yellow-whiskered Greenbul,Eurillas latirostris_Yellow-whiskered Greenbul,NA,NA
Eurillas virens,Little Greenbul,Eurillas virens_Little Greenbul,NA,NA
Eurocephalus ruppelli,White-rumped Shrike,Eurocephalus ruppelli_White-rumped Shrike,NA,NA
Eurostopodus argus,Spotted Nightjar,Eurostopodus argus_Spotted Nightjar,NA,NA
Eurostopodus mystacalis,White-throated Nightjar,Eurostopodus mystacalis_White-throated Nightjar,NA,NA
Eurylaimus javanicus,Banded Broadbill,Eurylaimus javanicus_Banded Broadbill,NA,NA
Eurylaimus ochromalus,Black-and-yellow Broadbill,Eurylaimus ochromalus_Black-and-yellow Broadbill,NA,NA
Eurypyga helias,Sunbittern,Eurypyga helias_Sunbittern,NA,NA
Eurystomus glaucurus,Broad-billed Roller,Eurystomus glaucurus_Broad-billed Roller,NA,NA
Eurystomus orientalis,Dollarbird,Eurystomus orientalis_Dollarbird,NA,NA
Euscarthmus fulviceps,Fulvous-faced Scrub-Tyrant,Euscarthmus fulviceps_Fulvous-faced Scrub-Tyrant,NA,NA
Euscarthmus meloryphus,Fulvous-crowned Scrub-Tyrant,Euscarthmus meloryphus_Fulvous-crowned Scrub-Tyrant,NA,NA
Euscarthmus rufomarginatus,Rufous-sided Scrub-Tyrant,Euscarthmus rufomarginatus_Rufous-sided Scrub-Tyrant,NA,NA
Eutoxeres aquila,White-tipped Sicklebill,Eutoxeres aquila_White-tipped Sicklebill,NA,NA
Falco amurensis,Amur Falcon,Falco amurensis_Amur Falcon,NA,NA
Falco berigora,Brown Falcon,Falco berigora_Brown Falcon,NA,NA
Coragyps atratus,American Black Vulture,Coragyps atratus_American Black Vulture,Black Vulture,birds
Falco deiroleucus,Orange-breasted Falcon,Falco deiroleucus_Orange-breasted Falcon,NA,NA
Falco femoralis,Aplomado Falcon,Falco femoralis_Aplomado Falcon,NA,NA
Corthylio calendula,Ruby-crowned Kinglet,Corthylio calendula_Ruby-crowned Kinglet,Ruby-crowned Kinglet,birds
Falco naumanni,Lesser Kestrel,Falco naumanni_Lesser Kestrel,NA,NA
Corvus brachyrhynchos,American Crow,Corvus brachyrhynchos_American Crow,American Crow,birds
Falco rufigularis,Bat Falcon,Falco rufigularis_Bat Falcon,NA,NA
Corvus corax,Common Raven,Corvus corax_Common Raven,Common Raven,birds
Corynorhinus townsendii,NA,NA,Townsend's Big-eared Bat,mammals
Falco subbuteo,Eurasian Hobby,Falco subbuteo_Eurasian Hobby,NA,NA
Coturnicops noveboracensis,Yellow Rail,Coturnicops noveboracensis_Yellow Rail,Yellow Rail,birds
Falco vespertinus,Red-footed Falcon,Falco vespertinus_Red-footed Falcon,NA,NA
Falculea palliata,Sickle-billed Vanga,Falculea palliata_Sickle-billed Vanga,NA,NA
Falcunculus frontatus,Eastern Shrike-tit,Falcunculus frontatus_Eastern Shrike-tit,NA,NA
Ferminia cerverai,Zapata Wren,Ferminia cerverai_Zapata Wren,NA,NA
Ficedula albicilla,Taiga Flycatcher,Ficedula albicilla_Taiga Flycatcher,NA,NA
Ficedula albicollis,Collared Flycatcher,Ficedula albicollis_Collared Flycatcher,NA,NA
Ficedula basilanica,Little Slaty Flycatcher,Ficedula basilanica_Little Slaty Flycatcher,NA,NA
Ficedula dumetoria,Rufous-chested Flycatcher,Ficedula dumetoria_Rufous-chested Flycatcher,NA,NA
Ficedula elisae,Green-backed Flycatcher,Ficedula elisae_Green-backed Flycatcher,NA,NA
Ficedula erithacus,Slaty-backed Flycatcher,Ficedula erithacus_Slaty-backed Flycatcher,NA,NA
Ficedula hodgsoni,Pygmy Flycatcher,Ficedula hodgsoni_Pygmy Flycatcher,NA,NA
Ficedula hyperythra,Snowy-browed Flycatcher,Ficedula hyperythra_Snowy-browed Flycatcher,NA,NA
Ficedula hypoleuca,European Pied Flycatcher,Ficedula hypoleuca_European Pied Flycatcher,NA,NA
Ficedula mugimaki,Mugimaki Flycatcher,Ficedula mugimaki_Mugimaki Flycatcher,NA,NA
Ficedula narcissina,Narcissus Flycatcher,Ficedula narcissina_Narcissus Flycatcher,NA,NA
