"SUBNATION_NAME","NAME_CATEGORY_DESC","ELCODE","FAMILY","SNAME","SCOMNAME","GNAME","GCOMNAME","S_RANK","N_RANK","G_RANK","ORIGIN_DESC","CURR_PRESENCE_ABSENCE_DESC","EO_TRACK_STATUS_DESC","Scientific Name","English Name","BirdNET"
"Alberta","Vertebrate Animal","ABPBX03100","Parulidae","Setophaga virens","Black-throated Green Warbler","Setophaga virens","Black-throated Green Warbler","S3S4B","N5B,N5M","G5","Native","Present","Track on a watch list only","Setophaga virens","Black-throated Green Warbler","Setophaga virens_Black-throated Green Warbler"
"Alberta","Vertebrate Animal","ABPBX11010","Parulidae","Geothlypis formosa","Kentucky Warbler","Geothlypis formosa","Kentucky Warbler","SNA","NNA","G5","Native","Unknown/Undetermined","Do not track","Geothlypis formosa","Kentucky Warbler","Geothlypis formosa_Kentucky Warbler"
"Alberta","Vertebrate Animal","ABNUC48010","Trochilidae","Selasphorus calliope","Calliope Hummingbird","Selasphorus calliope","Calliope Hummingbird","S3B","N5B","G5","Native","Present","Do not track","Selasphorus calliope","Calliope Hummingbird","Selasphorus calliope_Calliope Hummingbird"
"Alberta","Vertebrate Animal","ABPBY04040","Fringillidae","Haemorhous mexicanus","House Finch","Haemorhous mexicanus","House Finch","S5","N5","G5","Native","Present","Do not track","Haemorhous mexicanus","House Finch","Haemorhous mexicanus_House Finch"
"Alberta","Vertebrate Animal","ABPBY04020","Fringillidae","Haemorhous purpureus","Purple Finch","Haemorhous purpureus","Purple Finch","S5B,S4N","N5B,N5N,N5M","G5","Native","Present","Do not track","Haemorhous purpureus","Purple Finch","Haemorhous purpureus_Purple Finch"
"Alberta","Vertebrate Animal","ABPBY04030","Fringillidae","Haemorhous cassinii","Cassin's Finch","Haemorhous cassinii","Cassin's Finch","SUB","N5B,NUM","G5","Native","Present","Track all extant and selected historical EOs","Haemorhous cassinii","Cassin's Finch","Haemorhous cassinii_Cassin's Finch"
"Alberta","Vertebrate Animal","AAABB01050","Bufonidae","Anaxyrus cognatus","Great Plains Toad","Anaxyrus cognatus","Great Plains Toad","S2S3","N3","G5","Native","Present","Track all extant and selected historical EOs","Anaxyrus cognatus","Great Plains Toad","Anaxyrus cognatus_Great Plains Toad"
"Alberta","Vertebrate Animal","ABNNM03020","Laridae","Leucophaeus pipixcan","Franklin's Gull","Leucophaeus pipixcan","Franklin's Gull","S4B","N5B,N4N5N,N4N5M","G5","Native","Present","Do not track","Leucophaeus pipixcan","Franklin's Gull","Leucophaeus pipixcan_Franklin's Gull"
"Alberta","Vertebrate Animal","ABNNM03050","Laridae","Chroicocephalus philadelphia","Bonaparte's Gull","Chroicocephalus philadelphia","Bonaparte's Gull","S5B","N5B,N3N,N5M","G5","Native","Present","Do not track","Chroicocephalus philadelphia","Bonaparte's Gull","Chroicocephalus philadelphia_Bonaparte's Gull"
"Alberta","Vertebrate Animal","ABNNM03030","Laridae","Hydrocoloeus minutus","Little Gull","Hydrocoloeus minutus","Little Gull","SNA","NUB,NUM","G5","Native","Unknown/Undetermined","Do not track","Hydrocoloeus minutus","Little Gull","Hydrocoloeus minutus_Little Gull"
"Alberta","Vertebrate Animal","AAABH01200","Ranidae","Lithobates sylvaticus","Wood Frog","Lithobates sylvaticus","Wood Frog","S5","N5","G5","Native","Present","Do not track","Lithobates sylvaticus","Wood Frog","Lithobates sylvaticus_Wood Frog"
"Alberta","Vertebrate Animal","ABPBXA6010","Calcariidae","Rhynchophanes mccownii","McCown's Longspur","Rhynchophanes mccownii","Thick-billed Longspur","S3B","N3N4B,N3N4M","G4","Native","Present","Track all extant and selected historical EOs","Rhynchophanes mccownii","Thick-billed Longspur","Rhynchophanes mccownii_Thick-billed Longspur"
"Alberta","Vertebrate Animal","ABNJB05050","Anatidae","Branta hutchinsii","Cackling Goose","Branta hutchinsii","Cackling Goose","S5M","N5B,N5N,N5M","G5","Native","Present","Do not track","Branta hutchinsii","Cackling Goose","Branta hutchinsii_Cackling Goose"
"Alberta","Vertebrate Animal","ABNNF04020","Scolopacidae","Actitis macularius","Spotted Sandpiper","Actitis macularius","Spotted Sandpiper","S5B","N5B,N3N,N5M","G5","Native","Present","Do not track","Actitis macularius","Spotted Sandpiper","Actitis macularius_Spotted Sandpiper"
"Alberta","Vertebrate Animal","ABNLC10030","Phasianidae","Lagopus leucura","White-tailed Ptarmigan","Lagopus leucura","White-tailed Ptarmigan","S5","N5","G5","Native","Present","Do not track","Lagopus leucura","White-tailed Ptarmigan","Lagopus leucura_White-tailed Ptarmigan"
"Alberta","Vertebrate Animal","ABNNF03010","Scolopacidae","Tringa incana","Wandering Tattler","Tringa incana","Wandering Tattler","SNA","N3B,NUM","G4G5","Native","Unknown/Undetermined","Do not track","Tringa incana","Wandering Tattler","Tringa incana_Wandering Tattler"
"Alberta","Vertebrate Animal","ABNNF02010","Scolopacidae","Tringa semipalmata","Willet","Tringa semipalmata","Willet","S4B","N5B,N5M","G5","Native","Present","Do not track","Tringa semipalmata","Willet","Tringa semipalmata_Willet"
"Alberta","Vertebrate Animal","ABPBX91070","Passerellidae","Peucaea cassinii","Cassin's sparrow","Peucaea cassinii","Cassin's Sparrow","SNA","NNA","G5","Native","Unknown/Undetermined","Do not track","Peucaea cassinii","Cassin's Sparrow","Peucaea cassinii_Cassin's Sparrow"
"Alberta","Vertebrate Animal","ABPBX10020","Parulidae","Parkesia noveboracensis","Northern Waterthrush","Parkesia noveboracensis","Northern Waterthrush","S5B","N5B,N5M","G5","Native","Present","Do not track","Parkesia noveboracensis","Northern Waterthrush","Parkesia noveboracensis_Northern Waterthrush"
"Alberta","Vertebrate Animal","ABPBG09100","Troglodytidae","Troglodytes hiemalis","Winter Wren","Troglodytes hiemalis","Winter Wren","S4B","N5B,N5M","G5","Native","Present","Do not track","Troglodytes hiemalis","Winter Wren","Troglodytes hiemalis_Winter Wren"
"Alberta","Vertebrate Animal","ABNNF20030","Scolopacidae","Phalaropus fulicarius","Red Phalarope","Phalaropus fulicarius","Red Phalarope","SNA","N5B,N5M","G5","Native","Present","Do not track","Phalaropus fulicarius","Grey Phalarope","Phalaropus fulicarius_Grey Phalarope"
"Alberta","Vertebrate Animal","ABNPB01080","Columbidae","Patagioenas fasciata","Band-tailed Pigeon","Patagioenas fasciata","Band-tailed Pigeon","SNA","N3N4","G4","Native","Unknown/Undetermined","Do not track","Patagioenas fasciata","Band-tailed Pigeon","Patagioenas fasciata_Band-tailed Pigeon"
"Alberta","Vertebrate Animal","ABNSB01040","Strigidae","Megascops kennicottii","Western Screech-Owl","Megascops kennicottii","Western Screech-Owl","SNA","N4","G4G5","Native","Unknown/Undetermined","Do not track","Megascops kennicottii","Western Screech-Owl","Megascops kennicottii_Western Screech-Owl"
"Alberta","Vertebrate Animal","ABNSB01030","Strigidae","Megascops asio","Eastern Screech-Owl","Megascops asio","Eastern Screech-Owl","SNA","N4N5","G5","Native","Unknown/Undetermined","Do not track","Megascops asio","Eastern Screech-Owl","Megascops asio_Eastern Screech-Owl"
"Alberta","Vertebrate Animal","ABNSB06010","Strigidae","Bubo scandiacus","Snowy Owl","Bubo scandiacus","Snowy Owl","S4N","N5B,N5N,N5M","G4","Native","Present","Do not track","Bubo scandiacus","Snowy Owl","Bubo scandiacus_Snowy Owl"
"Alberta","Vertebrate Animal","ABPAW01010","Paridae","Poecile atricapillus","Black-capped Chickadee","Poecile atricapillus","Black-capped Chickadee","S5","N5","G5","Native","Present","Do not track","Poecile atricapillus","Black-capped Chickadee","Poecile atricapillus_Black-capped Chickadee"
